"city","min","mean","max"
"Abilene",-26,4.45605306799337,511
"Albany",-48,5.34620409348236,673
"Albuquerque",-55,3.48941143731738,731
"Allentown",-28,3.04439024390244,615
"Amarillo",-27,7.47788040836169,335
"Anchorage",-55,7.77021589793916,672
"Asheville",-21,-1.59057591623037,159
"Atlanta",-79,6.73896000706277,747
"Augusta",Inf,NA,-Inf
"Austin",-52,3.44094345952363,780
"Avoca",-31,-0.838398813936249,281
"Bangor",-53,7.87085113374959,399
"Barrow",-26,3.58539944903581,180
"Baton Rouge",-36,4.82268041237113,334
"Beaumont / Port Arthur",-26,-1.96486486486486,149
"Bethel",-25,4.29931972789116,196
"Billings",-32,6.10220296135789,259
"Birmingham",-41,5.51938568530861,762
"Bismarck",-33,3.80636042402827,469
"Bloomington",-25,3.48218527315914,147
"Boise",-37,5.5554030560893,472
"Boston",-67,-0.187394087742421,820
"Bozeman",-38,5.40590405904059,622
"Brownsville",-19,1.06827309236948,120
"Buffalo",-42,4.35275580423178,724
"Burbank",-39,5.53459935519384,434
"BWI Airport",-60,4.38690691672603,496
"Cedar Rapids",-29,4.54612227262908,318
"Champaign",-27,11.3454653937947,326
"Charleston",-28,4.22322030092073,431
"Charlotte",-79,1.5461247480465,508
"Chattanooga",-35,9.69756097560976,290
"Chicago",-134,3.58253023125014,1342
"Cincinnati",-53,3.91172245248435,534
"Cleveland",-56,2.43423340961098,874
"College Station",-29,0.335507921714818,191
"Colorado Springs",-40,2.32420976141456,548
"Columbia",-23,3.68264840182648,345
"Columbus",-58,4.21602737772708,648
"Cordova",-36,12.5827439886846,685
"Corpus Christi",-28,9.65539947322213,330
"Dallas",-240,1.67255150814848,1428
"Dayton",-48,5.31508711231929,404
"Daytona Beach",-21,10.8721174004193,269
"Deadhorse",-24,3.06167400881057,304
"Denver",-60,1.51249372804817,953
"Des Moines",-36,3.20926325893928,348
"Detroit",-61,1.30697387518142,1946
"Dillingham",-27,3.46488294314381,278
"Dubuque",-29,8.40776699029126,212
"Duluth",-27,6.37110341415141,909
"Durango",-37,-0.289398280802292,221
"Eagle",-39,14.3100189035917,916
"Egg Harbor Township",Inf,NA,-Inf
"El Paso",-45,3.47714534209509,330
"Erie",-15,0.947368421052632,96
"Eugene",-22,2.11363636363636,218
"Evansville",-28,6.70490716180371,323
"Fairbanks",-65,6.87871896911124,387
"Fargo",-25,5.97425073870832,542
"Fayetteville / Springdale",-54,7.67916999201915,295
