"state","mean_dist"
"Alabama",660.975808943628
"Alaska",1208.6794522446
"Arizona",1402.81604864127
"Arkansas",577.232216369351
"California",1461.56809035912
"Colorado",1425.42833153137
"Connecticut",1189.56563149567
"District of Columbia",1265.42209799763
"Florida",1331.40936520181
"Georgia",1083.73825148816
"Hawaii",4556.50173305301
"Idaho",906.246315789474
"Illinois",1182.19161827754
"Indiana",766.281467181467
"Iowa",598.453777300394
"Kansas",618.515799432356
"Kentucky",653.924591515901
"Louisiana",947.736197700194
"Maine",681.46755308593
"Maryland",1086.57478769756
"Massachusetts",1294.78724940457
"Michigan",931.22055014029
"Minnesota",1283.76627297136
"Mississippi",717.557077041208
"Missouri",1102.89448851884
"Montana",912.769987418506
"Nebraska",893.252064220183
"Nevada",1279.93205856302
"New Hampshire",1033.30052537075
"New Jersey",1764.08606072957
"New Mexico",1009.49796940195
"New York",1246.93606213784
"North Carolina",842.511283066403
"North Dakota",505.999827258594
"Ohio",1077.38428166529
"Oklahoma",663.530889650708
"Oregon",1509.81571031489
"Pennsylvania",1136.33338512936
"Rhode Island",1031.28664882545
"South Carolina",479.143907563025
"South Dakota",494.529677613739
"Tennessee",992.934195642552
"Texas",1083.89181369863
"Utah",1377.02356549929
"Vermont",858.619779485466
"Virginia",807.218147917961
"Washington",1766.48489378932
"Wisconsin",555.322496125175
"Wyoming",1092.49298409729
