"state","mean/flights"
"Alabama",0.000195641342398815
"Alaska",0.000171556502025609
"Arizona",3.69743965420462e-05
"Arkansas",0.000162804870847886
"California",8.27459915143091e-06
"Colorado",3.50284420783015e-05
"Connecticut",0.000105936064687851
"District of Columbia",2.55738674106875e-05
"Florida",1.668547020489e-05
"Georgia",3.19752627120386e-05
"Hawaii",0.000209214760299418
"Idaho",0.000373656457330771
"Illinois",1.91413800049545e-05
"Indiana",0.000111522956255444
"Iowa",0.000118012795786715
"Kansas",0.000439293299882121
"Kentucky",0.000297373423354768
"Louisiana",7.78737920906917e-05
"Maine",0.000492260782644726
"Maryland",0.000105204861208983
"Massachusetts",4.72155598820264e-05
"Michigan",5.04769984024259e-05
"Minnesota",3.64025969595727e-05
"Mississippi",0.000700851359241867
"Missouri",2.25998775438697e-05
"Montana",7.61904273504587e-05
"Nebraska",0.000205863090228095
"Nevada",4.71855839650504e-05
"New Hampshire",0.000347417294174182
"New Jersey",3.81024284211294e-05
"New Mexico",0.000160263540189685
"New York",2.41793190010123e-05
"North Carolina",3.19680784381701e-05
"North Dakota",-0.000200522067557973
"Ohio",3.16427527569157e-05
"Oklahoma",8.65254124901423e-05
"Oregon",9.30173241996277e-05
"Pennsylvania",2.74267429230871e-05
"Rhode Island",0.000175430472983135
"South Carolina",0.000167539629897577
"South Dakota",0.000188457247756192
"Tennessee",5.52723093701884e-05
"Texas",8.49079101259569e-06
"Utah",7.41622686529761e-05
"Vermont",0.000583162695359224
"Virginia",0.000120774187766838
"Washington",5.36635014411854e-05
"Wisconsin",8.27330345856088e-05
"Wyoming",0.0121757742870119
