"day","cancellations"
"2002-01-01",110
"2002-01-02",655
"2002-01-03",951
"2002-01-04",334
"2002-01-05",48
"2002-01-06",172
"2002-01-07",254
"2002-01-08",95
"2002-01-09",87
"2002-01-10",68
"2002-01-11",93
"2002-01-12",49
"2002-01-13",138
"2002-01-14",116
"2002-01-15",117
"2002-01-16",282
"2002-01-17",125
"2002-01-18",82
"2002-01-19",322
"2002-01-20",168
"2002-01-21",96
"2002-01-22",133
"2002-01-23",166
"2002-01-24",307
"2002-01-25",93
"2002-01-26",62
"2002-01-27",110
"2002-01-28",166
"2002-01-29",142
"2002-01-30",587
"2002-01-31",1141
"2002-02-01",341
"2002-02-02",80
"2002-02-03",97
"2002-02-04",157
"2002-02-05",671
"2002-02-06",568
"2002-02-07",135
"2002-02-08",84
"2002-02-09",40
"2002-02-10",75
"2002-02-11",151
"2002-02-12",121
"2002-02-13",92
"2002-02-14",63
"2002-02-15",91
"2002-02-16",64
"2002-02-17",73
"2002-02-18",75
"2002-02-19",180
"2002-02-20",135
"2002-02-21",122
"2002-02-22",70
"2002-02-23",52
"2002-02-24",44
"2002-02-25",107
"2002-02-26",341
"2002-02-27",162
"2002-02-28",114
"2002-03-01",148
"2002-03-02",840
"2002-03-03",210
"2002-03-04",235
"2002-03-05",170
"2002-03-06",127
"2002-03-07",90
"2002-03-08",177
"2002-03-09",381
"2002-03-10",161
"2002-03-11",107
"2002-03-12",270
"2002-03-13",168
"2002-03-14",329
"2002-03-15",156
"2002-03-16",83
"2002-03-17",106
"2002-03-18",187
"2002-03-19",568
"2002-03-20",246
"2002-03-21",90
"2002-03-22",94
"2002-03-23",48
"2002-03-24",53
"2002-03-25",152
"2002-03-26",301
"2002-03-27",140
"2002-03-28",48
"2002-03-29",69
"2002-03-30",90
"2002-03-31",172
"2002-04-01",155
"2002-04-02",245
"2002-04-03",116
"2002-04-04",145
"2002-04-05",71
"2002-04-06",50
"2002-04-07",376
"2002-04-08",222
"2002-04-09",119
"2002-04-10",76
"2002-04-11",119
"2002-04-12",107
"2002-04-13",141
"2002-04-14",70
"2002-04-15",196
"2002-04-16",234
"2002-04-17",134
"2002-04-18",189
"2002-04-19",430
"2002-04-20",103
"2002-04-21",93
"2002-04-22",89
"2002-04-23",78
"2002-04-24",164
"2002-04-25",99
"2002-04-26",113
"2002-04-27",88
"2002-04-28",259
"2002-04-29",118
"2002-04-30",95
"2002-05-01",104
"2002-05-02",351
"2002-05-03",292
"2002-05-04",114
"2002-05-05",84
"2002-05-06",204
"2002-05-07",237
"2002-05-08",228
"2002-05-09",247
"2002-05-10",101
"2002-05-11",90
"2002-05-12",199
"2002-05-13",378
"2002-05-14",135
"2002-05-15",142
"2002-05-16",92
"2002-05-17",228
"2002-05-18",54
"2002-05-19",41
"2002-05-20",75
"2002-05-21",94
"2002-05-22",91
"2002-05-23",41
"2002-05-24",36
"2002-05-25",39
"2002-05-26",49
"2002-05-27",60
"2002-05-28",103
"2002-05-29",128
"2002-05-30",149
"2002-05-31",240
"2002-06-01",130
"2002-06-02",45
"2002-06-03",256
"2002-06-04",796
"2002-06-05",457
"2002-06-06",333
"2002-06-07",187
"2002-06-08",52
"2002-06-09",93
"2002-06-10",407
"2002-06-11",547
"2002-06-12",215
"2002-06-13",311
"2002-06-14",188
"2002-06-15",106
"2002-06-16",89
"2002-06-17",200
"2002-06-18",164
"2002-06-19",240
"2002-06-20",130
"2002-06-21",322
"2002-06-22",151
"2002-06-23",56
"2002-06-24",199
"2002-06-25",392
"2002-06-26",529
"2002-06-27",744
"2002-06-28",182
"2002-06-29",61
"2002-06-30",59
"2002-07-01",190
"2002-07-02",267
"2002-07-03",162
"2002-07-04",119
"2002-07-05",63
"2002-07-06",39
"2002-07-07",58
"2002-07-08",125
"2002-07-09",232
"2002-07-10",289
"2002-07-11",179
"2002-07-12",189
"2002-07-13",185
"2002-07-14",304
"2002-07-15",253
"2002-07-16",165
"2002-07-17",162
"2002-07-18",190
"2002-07-19",391
"2002-07-20",102
"2002-07-21",90
"2002-07-22",305
"2002-07-23",788
"2002-07-24",284
"2002-07-25",126
"2002-07-26",156
"2002-07-27",142
"2002-07-28",90
"2002-07-29",333
"2002-07-30",154
"2002-07-31",105
"2002-08-01",104
"2002-08-02",248
"2002-08-03",137
"2002-08-04",128
"2002-08-05",223
"2002-08-06",203
"2002-08-07",114
"2002-08-08",108
"2002-08-09",60
"2002-08-10",173
"2002-08-11",47
"2002-08-12",159
"2002-08-13",499
"2002-08-14",248
"2002-08-15",160
"2002-08-16",318
"2002-08-17",128
"2002-08-18",89
"2002-08-19",238
"2002-08-20",114
"2002-08-21",121
"2002-08-22",363
"2002-08-23",203
"2002-08-24",96
"2002-08-25",113
"2002-08-26",143
"2002-08-27",272
"2002-08-28",162
"2002-08-29",167
"2002-08-30",89
"2002-08-31",79
"2002-09-01",64
"2002-09-02",65
"2002-09-03",113
"2002-09-04",119
"2002-09-05",144
"2002-09-06",132
"2002-09-07",113
"2002-09-08",60
"2002-09-09",99
"2002-09-10",128
"2002-09-11",113
"2002-09-12",116
"2002-09-13",135
"2002-09-14",132
"2002-09-15",110
"2002-09-16",120
"2002-09-17",172
"2002-09-18",100
"2002-09-19",302
"2002-09-20",198
"2002-09-21",66
"2002-09-22",52
"2002-09-23",122
"2002-09-24",159
"2002-09-25",247
"2002-09-26",191
"2002-09-27",78
"2002-09-28",74
"2002-09-29",45
"2002-09-30",91
"2002-10-01",129
"2002-10-02",139
"2002-10-03",368
"2002-10-04",272
"2002-10-05",98
"2002-10-06",93
"2002-10-07",198
"2002-10-08",161
"2002-10-09",146
"2002-10-10",67
"2002-10-11",89
"2002-10-12",75
"2002-10-13",55
"2002-10-14",57
"2002-10-15",138
"2002-10-16",271
"2002-10-17",136
"2002-10-18",165
"2002-10-19",112
"2002-10-20",47
"2002-10-21",185
"2002-10-22",147
"2002-10-23",130
"2002-10-24",149
"2002-10-25",119
"2002-10-26",164
"2002-10-27",104
"2002-10-28",175
"2002-10-29",244
"2002-10-30",153
"2002-10-31",147
"2002-11-01",143
"2002-11-02",112
"2002-11-03",83
"2002-11-04",119
"2002-11-05",283
"2002-11-06",210
"2002-11-07",133
"2002-11-08",130
"2002-11-09",64
"2002-11-10",201
"2002-11-11",209
"2002-11-12",162
"2002-11-13",111
"2002-11-14",137
"2002-11-15",109
"2002-11-16",128
"2002-11-17",110
"2002-11-18",137
"2002-11-19",82
"2002-11-20",113
"2002-11-21",182
"2002-11-22",113
"2002-11-23",74
"2002-11-24",76
"2002-11-25",95
"2002-11-26",164
"2002-11-27",106
"2002-11-28",13
"2002-11-29",27
"2002-11-30",34
"2002-12-01",39
"2002-12-02",382
"2002-12-03",223
"2002-12-04",487
"2002-12-05",1621
"2002-12-06",314
"2002-12-07",105
"2002-12-08",114
"2002-12-09",129
"2002-12-10",245
"2002-12-11",375
"2002-12-12",159
"2002-12-13",186
"2002-12-14",106
"2002-12-15",56
"2002-12-16",174
"2002-12-17",111
"2002-12-18",238
"2002-12-19",106
"2002-12-20",108
"2002-12-21",23
"2002-12-22",47
"2002-12-23",128
"2002-12-24",162
"2002-12-25",618
"2002-12-26",358
"2002-12-27",107
"2002-12-28",38
"2002-12-29",44
"2002-12-30",401
"2002-12-31",117
