"Hour","flights"
"1",12158
"2",3407
"3",315
"4",50
"5",7208
"6",195464
"7",355494
"8",326922
"9",369412
"10",303136
"11",317494
"12",325724
"13",354595
"14",315541
"15",305696
"16",324396
"17",333911
"18",328310
"19",325468
"20",224137
"21",219061
"22",131026
"23",46474
"24",23355
