"day","flights"
"2002-01-01",13069
"2002-01-02",13774
"2002-01-03",13398
"2002-01-04",14033
"2002-01-05",12387
"2002-01-06",13390
"2002-01-07",14027
"2002-01-08",14142
"2002-01-09",14173
"2002-01-10",14232
"2002-01-11",14224
"2002-01-12",12276
"2002-01-13",13304
"2002-01-14",14172
"2002-01-15",14109
"2002-01-16",13972
"2002-01-17",14173
"2002-01-18",14231
"2002-01-19",12045
"2002-01-20",13272
"2002-01-21",14196
"2002-01-22",14096
"2002-01-23",14086
"2002-01-24",13991
"2002-01-25",14221
"2002-01-26",12300
"2002-01-27",13328
"2002-01-28",14118
"2002-01-29",14088
"2002-01-30",13655
"2002-01-31",13207
"2002-02-01",14058
"2002-02-02",12304
"2002-02-03",13416
"2002-02-04",14245
"2002-02-05",13670
"2002-02-06",13808
"2002-02-07",14289
"2002-02-08",14288
"2002-02-09",12325
"2002-02-10",13521
"2002-02-11",14302
"2002-02-12",14262
"2002-02-13",14387
"2002-02-14",14522
"2002-02-15",14550
"2002-02-16",12513
"2002-02-17",13666
"2002-02-18",14519
"2002-02-19",14393
"2002-02-20",14458
"2002-02-21",14505
"2002-02-22",14572
"2002-02-23",12532
"2002-02-24",13674
"2002-02-25",14503
"2002-02-26",14218
"2002-02-27",14454
"2002-02-28",14542
"2002-03-01",14521
"2002-03-02",11845
"2002-03-03",13681
"2002-03-04",14517
"2002-03-05",14552
"2002-03-06",14618
"2002-03-07",14683
"2002-03-08",14601
"2002-03-09",12303
"2002-03-10",13745
"2002-03-11",14651
"2002-03-12",14450
"2002-03-13",14576
"2002-03-14",14445
"2002-03-15",14640
"2002-03-16",12633
"2002-03-17",13812
"2002-03-18",14573
"2002-03-19",14154
"2002-03-20",14499
"2002-03-21",14693
"2002-03-22",14706
"2002-03-23",12685
"2002-03-24",13868
"2002-03-25",14608
"2002-03-26",14423
"2002-03-27",14593
"2002-03-28",14731
"2002-03-29",14598
"2002-03-30",12496
"2002-03-31",13614
"2002-04-01",14567
"2002-04-02",14456
"2002-04-03",14603
"2002-04-04",14600
"2002-04-05",14684
"2002-04-06",12602
"2002-04-07",13541
"2002-04-08",14631
"2002-04-09",14709
"2002-04-10",14761
"2002-04-11",14748
"2002-04-12",14762
"2002-04-13",12673
"2002-04-14",13917
"2002-04-15",14660
"2002-04-16",14596
"2002-04-17",14702
"2002-04-18",14685
"2002-04-19",14447
"2002-04-20",12701
"2002-04-21",13903
"2002-04-22",14768
"2002-04-23",14753
"2002-04-24",14680
"2002-04-25",14778
"2002-04-26",14761
"2002-04-27",12704
"2002-04-28",13732
"2002-04-29",14756
"2002-04-30",14730
"2002-05-01",14706
"2002-05-02",14494
"2002-05-03",14563
"2002-05-04",12640
"2002-05-05",13878
"2002-05-06",14642
"2002-05-07",14560
"2002-05-08",14583
"2002-05-09",14601
"2002-05-10",14759
"2002-05-11",12667
"2002-05-12",13760
"2002-05-13",14470
"2002-05-14",14668
"2002-05-15",14682
"2002-05-16",14763
"2002-05-17",14639
"2002-05-18",12714
"2002-05-19",13939
"2002-05-20",14786
"2002-05-21",14721
"2002-05-22",14744
"2002-05-23",14826
"2002-05-24",14840
"2002-05-25",12273
"2002-05-26",12185
"2002-05-27",13878
"2002-05-28",14717
"2002-05-29",14707
"2002-05-30",14717
"2002-05-31",14630
"2002-06-01",12714
"2002-06-02",14017
"2002-06-03",14693
"2002-06-04",14099
"2002-06-05",14454
"2002-06-06",14593
"2002-06-07",15019
"2002-06-08",13146
"2002-06-09",14434
"2002-06-10",14860
"2002-06-11",14673
"2002-06-12",15013
"2002-06-13",14960
"2002-06-14",15081
"2002-06-15",13441
"2002-06-16",14552
"2002-06-17",15106
"2002-06-18",15105
"2002-06-19",15037
"2002-06-20",15176
"2002-06-21",14997
"2002-06-22",13484
"2002-06-23",14590
"2002-06-24",15106
"2002-06-25",14878
"2002-06-26",14747
"2002-06-27",14566
"2002-06-28",15149
"2002-06-29",13585
"2002-06-30",14606
"2002-07-01",15087
"2002-07-02",14965
"2002-07-03",15130
"2002-07-04",12480
"2002-07-05",12785
"2002-07-06",13487
"2002-07-07",14642
"2002-07-08",15205
"2002-07-09",15072
"2002-07-10",15013
"2002-07-11",15163
"2002-07-12",15174
"2002-07-13",13489
"2002-07-14",14398
"2002-07-15",15083
"2002-07-16",15137
"2002-07-17",15148
"2002-07-18",15151
"2002-07-19",14969
"2002-07-20",13574
"2002-07-21",14614
"2002-07-22",15035
"2002-07-23",14520
"2002-07-24",15017
"2002-07-25",15217
"2002-07-26",15207
"2002-07-27",13531
"2002-07-28",14613
"2002-07-29",15004
"2002-07-30",15154
"2002-07-31",15202
"2002-08-01",15159
"2002-08-02",15061
"2002-08-03",13519
"2002-08-04",14511
"2002-08-05",15060
"2002-08-06",15047
"2002-08-07",15139
"2002-08-08",15182
"2002-08-09",15238
"2002-08-10",13475
"2002-08-11",14592
"2002-08-12",15128
"2002-08-13",14748
"2002-08-14",15004
"2002-08-15",15132
"2002-08-16",14985
"2002-08-17",13522
"2002-08-18",14544
"2002-08-19",15046
"2002-08-20",15135
"2002-08-21",15133
"2002-08-22",14925
"2002-08-23",15099
"2002-08-24",13549
"2002-08-25",14519
"2002-08-26",15145
"2002-08-27",14976
"2002-08-28",15079
"2002-08-29",15108
"2002-08-30",15218
"2002-08-31",12419
"2002-09-01",12048
"2002-09-02",14141
"2002-09-03",14886
"2002-09-04",14833
"2002-09-05",14756
"2002-09-06",14788
"2002-09-07",12800
"2002-09-08",13977
"2002-09-09",14640
"2002-09-10",13500
"2002-09-11",12585
"2002-09-12",14367
"2002-09-13",14649
"2002-09-14",12674
"2002-09-15",13929
"2002-09-16",14676
"2002-09-17",14593
"2002-09-18",14669
"2002-09-19",14501
"2002-09-20",14609
"2002-09-21",12734
"2002-09-22",13921
"2002-09-23",14603
"2002-09-24",14545
"2002-09-25",14462
"2002-09-26",14557
"2002-09-27",14670
"2002-09-28",12671
"2002-09-29",13931
"2002-09-30",14628
"2002-10-01",14516
"2002-10-02",14541
"2002-10-03",14335
"2002-10-04",14444
"2002-10-05",12579
"2002-10-06",13829
"2002-10-07",14455
"2002-10-08",14458
"2002-10-09",14472
"2002-10-10",14584
"2002-10-11",14565
"2002-10-12",12571
"2002-10-13",13862
"2002-10-14",14602
"2002-10-15",14470
"2002-10-16",14338
"2002-10-17",14515
"2002-10-18",14478
"2002-10-19",12519
"2002-10-20",13862
"2002-10-21",14459
"2002-10-22",14463
"2002-10-23",14479
"2002-10-24",14496
"2002-10-25",14522
"2002-10-26",12426
"2002-10-27",13645
"2002-10-28",14444
"2002-10-29",14342
"2002-10-30",14426
"2002-10-31",14344
"2002-11-01",14294
"2002-11-02",12251
"2002-11-03",13482
"2002-11-04",14332
"2002-11-05",14013
"2002-11-06",14163
"2002-11-07",14309
"2002-11-08",14334
"2002-11-09",12295
"2002-11-10",13383
"2002-11-11",14249
"2002-11-12",14139
"2002-11-13",14268
"2002-11-14",14311
"2002-11-15",14356
"2002-11-16",12225
"2002-11-17",13459
"2002-11-18",14316
"2002-11-19",14213
"2002-11-20",14259
"2002-11-21",14262
"2002-11-22",14355
"2002-11-23",12274
"2002-11-24",13490
"2002-11-25",14355
"2002-11-26",14300
"2002-11-27",14381
"2002-11-28",10108
"2002-11-29",10624
"2002-11-30",12158
"2002-12-01",13723
"2002-12-02",14021
"2002-12-03",13854
"2002-12-04",13696
"2002-12-05",12685
"2002-12-06",14003
"2002-12-07",11836
"2002-12-08",13270
"2002-12-09",14134
"2002-12-10",13817
"2002-12-11",13790
"2002-12-12",14119
"2002-12-13",14102
"2002-12-14",11923
"2002-12-15",13282
"2002-12-16",14090
