"state","mean_airvel(Km/h)"
"Alabama",578.718410794729
"Alaska",653.823379186586
"Arizona",702.41034384883
"Arkansas",547.11935878927
"California",673.560204939177
"Colorado",730.059515488313
"Connecticut",596.515274613828
"District of Columbia",616.405910498851
"Florida",659.536664204748
"Georgia",665.169072154181
"Hawaii",873.50244936948
"Idaho",666.592698369436
"Illinois",657.116902678681
"Indiana",565.613130141004
"Iowa",571.152728052311
"Kansas",610.879206011919
"Kentucky",550.579178202558
"Louisiana",627.745789592745
"Maine",510.769647850769
"Maryland",603.376010188733
"Massachusetts",568.015006698305
"Michigan",591.369975153638
"Minnesota",674.471555293746
"Mississippi",604.530148995838
"Missouri",656.418953244686
"Montana",672.111293882633
"Nebraska",642.751459495018
"Nevada",670.331467776761
"New Hampshire",590.115797878286
"New Jersey",645.388149538935
"New Mexico",672.162636193454
"New York",589.015002340183
"North Carolina",600.84019106851
"North Dakota",577.598026884759
"Ohio",619.097500166785
"Oklahoma",591.720316289993
"Oregon",717.247005597027
"Pennsylvania",611.292078908956
"Rhode Island",559.494968490361
"South Carolina",498.509256208082
"South Dakota",568.243634359739
"Tennessee",643.775988258548
"Texas",639.510844701799
"Utah",713.564575280244
"Vermont",572.057120043461
"Virginia",560.218080250149
"Washington",727.512939153207
"Wisconsin",524.389452366208
"Wyoming",706.699791042957
