"Hour","flights"
"1",27278
"2",5937
"3",1410
"4",1102
"5",21117
"6",30687
"7",103823
"8",214319
"9",247068
"10",313305
"11",325159
"12",328359
"13",307417
"14",309785
"15",313600
"16",351705
"17",330647
"18",341620
"19",322985
"20",341294
"21",317025
"22",278933
"23",210400
"24",95522
