"state","Cancel_from/Total","Cancel_to/Total"
"Alabama",0.0105267755743863,0.0102201257861635
"Alaska",0.0338888517055976,0.0325466226465602
"Arizona",0.0105750825603164,0.0123895015276529
"Arkansas",0.0164997823247714,0.0137254901960784
"California",0.0090634393860997,0.00871631710196137
"Colorado",0.00603635532182463,0.00568856803435986
"Connecticut",0.0118941785966095,0.00983968365876835
"District of Columbia",0.0164676348657751,0.0146559649246871
"Florida",0.00483208429680946,0.00398059845171435
"Georgia",0.0110684493977336,0.0127564674397859
"Hawaii",0.00255044207662662,0.00102017683065065
"Idaho",0.00519031141868512,0.00345957756737072
"Illinois",0.0188943791176716,0.0205545854942535
"Indiana",0.0165712890889859,0.0142961777391965
"Iowa",0.0225379715825576,0.0192617496672971
"Kansas",0.0163781872324586,0.0137853949329359
"Kentucky",0.00934436274509804,0.00791422006637733
"Louisiana",0.0120956014439445,0.0093288372331867
"Maine",0.0304021550894747,0.0248387407336093
"Maryland",0.00894862355583339,0.00726978063321178
"Massachusetts",0.0196806603730225,0.0205480710911798
"Michigan",0.0167949484382006,0.0175369764907364
"Minnesota",0.0130638639655658,0.0140124677321909
"Mississippi",0.012261408165845,0.0101188970402226
"Missouri",0.01012860319616,0.0100189702177947
"Montana",0.00749233738222273,0.0044376970687843
"Nebraska",0.00830205845558967,0.00676828574678649
"Nevada",0.00647707787375845,0.00526053562993782
"New Hampshire",0.0114390901321412,0.00933534941818421
"New Jersey",0.013767460556728,0.0133159137731772
"New Mexico",0.00800220750551876,0.00778231592891048
"New York",0.0183287261390098,0.0182631599333772
"North Carolina",0.0119015161393568,0.0124267403066092
"North Dakota",0.0127899045020464,0.0105675813874212
"Ohio",0.0140774523501964,0.0133075838067995
"Oklahoma",0.0138071258008842,0.0124122278175757
"Oregon",0.00806375465035031,0.00738404592838797
"Pennsylvania",0.0151855214698891,0.0154953355877567
"Rhode Island",0.00884173297966401,0.00777278420393428
"South Carolina",0.014929785661493,0.0124898381494346
"South Dakota",0.0113196306225797,0.00923718712753278
"Tennessee",0.0101357272213892,0.00919155234024323
"Texas",0.0141575464985809,0.0148549611959278
"Utah",0.00601130008814647,0.00586058433049664
"Vermont",0.0102513227513228,0.00562169312169312
"Virginia",0.0166539343009931,0.0143333027719202
"Washington",0.00974646844735056,0.0109274207761994
"Wisconsin",0.0259175383730544,0.023331056548154
"Wyoming",0.0120147874306839,0.0156971375807941
