"city","min","mean","max"
"Abilene",-20,-0.133554541683949,296
"Albany",-30,4.31802376122863,1082
"Albuquerque",-38,5.76147426981919,1313
"Allentown",-19,-0.322423058133854,530
"Amarillo",-38,6.47382875605816,464
"Anchorage",-66,6.67230536732804,919
"Asheville",-16,-4.13612565445026,136
"Atlanta",-30,7.56618834514836,1356
"Augusta",Inf,NA,-Inf
"Austin",-36,3.48892960363336,784
"Avoca",-15,-0.608438193930422,204
"Bangor",-30,6.98341074983411,441
"Barrow",-19,7.47115384615385,388
"Baton Rouge",-27,2.74852594339623,378
"Beaumont / Port Arthur",-15,-0.300268096514745,206
"Bethel",-20,4.38199697428139,377
"Billings",-35,0.427436823104693,1497
"Birmingham",-87,4.68833652007648,633
"Bismarck",-19,-0.76271186440678,472
"Bloomington",-27,3.72195704057279,466
"Boise",-26,4.08219679633867,531
"Boston",-44,5.04136939172612,1952
"Bozeman",-14,3.48708487084871,1012
"Brownsville",-16,-0.634538152610442,339
"Buffalo",-30,3.66036522633745,1330
"Burbank",-18,7.11437780048738,573
"BWI Airport",-52,9.00648296323985,1279
"Cedar Rapids",-25,0.676889848812095,293
"Champaign",-16,4.49371633752244,363
"Charleston",-28,1.94644464446445,436
"Charlotte",-22,5.35213182210629,2119
"Chattanooga",-20,4.16319018404908,471
"Chicago",-31,7.26426628786756,1433
"Cincinnati",-37,5.88651968452077,1200
"Cleveland",-31,3.5984406795162,522
"College Station",-22,-3.79365079365079,383
"Colorado Springs",-25,1.61153519932146,1275
"Columbia",-18,4.77739726027397,348
"Columbus",-52,4.14052231556089,1005
"Cordova",-29,11.6341807909605,672
"Corpus Christi",-20,8.10753394656154,424
"Dallas",-34,5.9971238625112,1115
"Dayton",-21,4.72179614052449,915
"Daytona Beach",-22,5.33007676203768,274
"Deadhorse",-23,3,297
"Denver",-19,4.69830556670681,1319
"Des Moines",-22,2.03082480433474,689
"Detroit",-25,8.79488218607075,1307
"Dillingham",-21,3.13953488372093,279
"Dubuque",-28,2.93197278911565,844
"Duluth",-25,2.25804853888063,449
"Durango",-14,0.162857142857143,217
"Eagle",-23,12.3045923149016,1172
"El Paso",-17,5.32391031216778,1246
"Erie",-11,-1.5,22
"Eugene",-15,4.06244931062449,880
"Evansville",-19,6.00133422281521,588
"Fairbanks",-23,5.30949210576374,725
"Fargo",-27,-2.71555367709214,338
"Fayetteville / Springdale",-23,8.03830041891083,654
"Flint",-21,0.688205128205128,553
"Fort Lauderdale",-1370,6.2434817070627,1205
"Fort Myers",-36,2.62950605642997,990
"Fort Smith",-30,-3.01346433770015,342
