"state","flights"
"Alabama",22662
"Alaska",43369
"Arizona",187805
"Arkansas",22635
"California",634030
"Colorado",130569
"Connecticut",32302
"District of Columbia",111470
"Florida",321781
"Georgia",232407
"Hawaii",17626
"Idaho",10946
"Illinois",375823
"Indiana",36336
"Iowa",14002
"Kansas",5294
"Kentucky",19430
"Louisiana",57876
"Maine",10129
"Maryland",85757
"Massachusetts",106582
"Michigan",157759
"Minnesota",143615
"Mississippi",7826
"Missouri",191001
"Montana",8525
"Nebraska",17463
"Nevada",153734
"New Hampshire",15069
"New Jersey",98180
"New Mexico",35954
"New York",202764
"North Carolina",166652
"North Dakota",5805
"Ohio",149699
"Oklahoma",41772
"Oregon",52561
"Pennsylvania",193021
"Rhode Island",26935
"South Carolina",13362
"South Dakota",3325
"Tennessee",101759
"Texas",638373
"Utah",69040
"Vermont",3007
"Virginia",32252
"Washington",112236
"Wisconsin",27168
"Wyoming",1066
