"state","flights"
"Alabama",22653
"Alaska",43304
"Arizona",188153
"Arkansas",22591
"California",633915
"Colorado",130413
"Connecticut",32233
"District of Columbia",111268
"Florida",321488
"Georgia",232838
"Hawaii",17599
"Idaho",10925
"Illinois",376462
"Indiana",36260
"Iowa",13965
"Kansas",5285
"Kentucky",19401
"Louisiana",57744
"Maine",10078
"Maryland",85609
"Massachusetts",106646
"Michigan",157887
"Minnesota",143766
"Mississippi",7814
"Missouri",190965
"Montana",8743
"Nebraska",17440
"Nevada",153544
"New Hampshire",15037
"New Jersey",98140
"New Mexico",35950
"New York",202775
"North Carolina",166710
"North Dakota",5789
"Ohio",149596
"Oklahoma",41713
"Oregon",52526
"Pennsylvania",193065
"Rhode Island",26904
"South Carolina",13328
"South Dakota",3319
"Tennessee",101665
"Texas",638750
"Utah",68787
"Vermont",2993
"Virginia",32180
"Washington",112371
"Wisconsin",27098
"Wyoming",1069
