"Hour","flights"
"1",22667
"2",7593
"3",1266
"4",241
"5",9007
"6",214909
"7",382000
"8",344378
"9",369038
"10",301482
"11",308911
"12",342774
"13",340468
"14",320470
"15",313089
"16",318727
"17",332859
"18",325239
"19",341055
"20",278325
"21",256172
"22",185594
"23",78895
"24",41870
