"state","min","mean","max"
"Alabama",-43,7.38665871754107,559
"Alaska",-53,13.5230911705213,674
"Arizona",-73,11.7938890615979,958
"Arkansas",-32,9.69754953864771,361
"California",-1188,13.4256648266347,1171
"Colorado",-54,14.2697740209046,929
"Connecticut",-56,10.2306527638909,473
"District of Columbia",-75,8.26797803309082,846
"Florida",-989,10.2293826216225,1265
"Georgia",-60,7.69817345420106,1026
"Hawaii",-86,7.32272677853079,1292
"Idaho",-43,15.8849407783418,624
"Illinois",-72,15.5164034651729,1330
"Indiana",-44,10.591535084131,424
"Iowa",-35,12.6262322472849,585
"Kansas",-34,12.3376954995212,342
"Kentucky",-42,9.27443903969873,428
"Louisiana",-46,8.6830242463415,732
"Maine",-45,10.9653346994536,355
"Maryland",-59,10.4228641602542,612
"Massachusetts",-87,13.947033162182,1222
"Michigan",-59,6.00915410933974,1441
"Minnesota",-64,4.18994956176616,1413
"Mississippi",-36,6.65275391611925,373
"Missouri",-58,9.05383460758583,766
"Montana",-60,7.42229004182209,571
"Nebraska",-33,13.0570775095299,446
"Nevada",-61,12.5941282964215,1189
"New Hampshire",-46,11.8636668404977,431
"New Jersey",-325,12.4232053422371,803
"New Mexico",-53,11.5099663617914,675
"New York",-64,15.0853703552784,867
"North Carolina",-58,7.63004501750681,561
"North Dakota",-33,6.12236286919831,471
"Ohio",-65,7.65387179620966,699
"Oklahoma",-58,11.5476166094926,783
"Oregon",-66,11.565811418656,928
"Pennsylvania",-60,10.8673695532434,709
"Rhode Island",-52,9.3651437573848,729
"South Carolina",-50,7.15064149470706,322
"South Dakota",-36,5.92018779342723,610
"Tennessee",-43,5.54878397951965,1278
"Texas",-1298,7.96130259315638,1320
"Utah",-62,8.48756263421618,839
"Vermont",-29,17.7423822714681,431
"Virginia",-61,8.7953729322423,936
"Washington",-83,12.450864206062,1124
"West Virginia",-34,6.58072696534235,190
"Wisconsin",-33,9.26027147672406,753
"Wyoming",-41,22.9689737470167,1274
