"state","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"1","2546","3051","16721","1076","55522","12449","2784","11845","28909","21350","1392","917","26971","3008","1014","484","2101","4903","437","6509","7919","13725","11595","836","18933","794","1621","14139","1072","9086","2943","16011","13472","510","14675","3262","4993","17918","1894","1542","406","9321","49568","6632","204","2668","9221","105","1927","121"
"2","2488","2750","15950","1042","51898","11981","2641","12046","27098","21279","1303","873","25856","2902","998","463","2026","4764","430","6603","7767","13132","11329","793","18023","716","1544","13394","1063","9145","2809","15876","13753","510","14100","3139","4631","17781","1843","1594","375","8968","47273","6168","195","2671","8519","107","1826","120"
"3","2644","3143","17607","1125","57034","12909","3011","12997","31253","22939","1428","1016","29241","3159","1110","493","2203","5167","466","7183","9020","14435","12409","840","19640","773","1664","14420","1147","10250","3033","17551","15305","550","15433","3403","5144","19703","2084","1767","403","9846","51084","6633","214","2938","9592","94","1938","127"
"4","2542","2803","16955","1092","55289","11994","2920","11803","30229","22091","1353","1017","27554","2907","972","482","2137","4972","459","7048","8354","13563","11869","827","19002","686","1641","13998","1098","9575","2977","16306","14870","490","14603","3279","4892","18977","2028","1767","396","9550","48797","6349","195","2777","9234","81","1854","5"
"5","2641","3536","17283","1127","57088","12121","2924","11880","29144","22301","1442","1047","27945","2998","1019","477","2270","5091","469","7526","8549","14017","12163","846","19459","694","1686","14407","1120","9641","3087","16951","15568","491","14724","3337","4993","19695","2091","1789","426","9850","50478","6552","203","2888","9752","104","1786",NA
"6","2476","3997","16555","1120","56599","12311","2910","11248","27682","21723","1392","1069","27207","2926","984","513","2133","4975","474","7274","8204","13726","12460","818","19202","728","1654","13821","1107","9275","2980","16197","14908","481","14354","3291","4932","18717","2053","1690","400","10124","49369","6468","209","2813","9979","101","1839","84"
"7","2480","4514","16871","1122","58160","12711","3001","11881","28725","21708","1439","1135","27992","3098","998","536","2119","5112","513","7580","8900","14217","13045","839","19644","765","1691","13448","1140","9632","3040","18013","15522","493","14559","3289","5009","19732","2137","1747","399","10443","50914","6669","233","2945","10464","101","1845","109"
"8","2554","4580","17311","1165","59366","12684","3067","12073","28998","22369","1423","1136","28432","3217","1018","551","2151","5215","512","7763","9140","14451","13211","855","19987","771","1679","13789","1155","9941","3133","18539","15685","514","14870","3350","5098","20043","2268","1788","401","10566","51911","6742","240","3004","10692","105","1881","104"
"9","2432","3728","16587","1100","56312","11942","2978","11519","27581","21095","1366","1056","27314","3083","955","565","2067","4984","552","7605","8857","13520","11796","807","18665","742","1648","13371","1117","9505","2989","18189","15281","361","13995","3183","4894","19608","2196","1767","381","9973","49331","6536","211","2835","9845","100","1715","97"
"10","2568","3277","17383","1149","58415","12463","3134","12246","29496","22450","1428","1076","29169","3253","1017","589","2163","5248","569","8070","9419","14363","12521","851","19374","770","1710","13840","1160","10326","3155","19659","16002","422","14553","3351","5076","20512","2389","1860","394","10476","51726","6728","215","2995","9994","104","1864","7"
"11","2457","2905","16847","1092","55666","11356","2901","11886","29015","21073","6731","1007","27018","3096","940","559","2076","4987","495","7852","9085","13440","11705","801","18448","758","1552","13416","1120","9711","2903","18670","15107","419","13640","3118","4734","19526","2230","1651","339","9895","48869","6303","207","2769","9181","85","1764",NA
"12","2326","3027","17405","999","56755","12436","2773","11237","29793","20076","6984","1057","25203","2965","904","533","1976","4919","485","7956","8400","12828","11656","816","18005","772","1528","13630","1129","9303","2927","17585","15022","443","13117","3055","4950","19327","2208","1540","362","9766","48222","6320","206","2717","9530","93","1688","66"
