"state","Cancel/Total"
"Alabama",0.0239708349464447
"Alaska",0.0534770371387382
"Arizona",0.0290692667617143
"Arkansas",0.0233107111242254
"California",0.0332092858913607
"Colorado",0.0317043990428861
"Connecticut",0.0280937750837278
"District of Columbia",0.0514005676543144
"Florida",0.0174904514255916
"Georgia",0.0377426472226969
"Hawaii",0.0115776308736823
"Idaho",0.0107407112737688
"Illinois",0.0613394194422652
"Indiana",0.0267433539187363
"Iowa",0.0424358666986334
"Kansas",0.0411252102125057
"Kentucky",0.0210881484605652
"Louisiana",0.0142165414024162
"Maine",0.0371643745907007
"Maryland",0.0205281174670615
"Massachusetts",0.0671326032861108
"Michigan",0.0334462047710113
"Minnesota",0.0316957421742401
"Mississippi",0.0149980135081446
"Missouri",0.0213675030534188
"Montana",0.0135465245391961
"Nebraska",0.0171183310874881
"Nevada",0.0155171287969179
"New Hampshire",0.0207514198339886
"New Jersey",0.0516990590458972
"New Mexico",0.012534627938232
"New York",0.0538561761483772
"North Carolina",0.0331256167145738
"North Dakota",0.016554578375582
"Ohio",0.0297273773759721
"Oklahoma",0.017784132239697
"Oregon",0.0243874419444308
"Pennsylvania",0.042318607941617
"Rhode Island",0.0209744458128079
"South Carolina",0.0446224789230984
"South Dakota",0.0151196976060479
"Tennessee",0.0195633893386536
"Texas",0.0257219200741251
"Utah",0.0207330340506946
"Vermont",0.0391040242976462
"Virginia",0.0430847924454063
"Washington",0.0302110762800418
"West Virginia",0.0350162866449511
"Wisconsin",0.0324255356592899
"Wyoming",0.0196987253765933
