"city","min","mean","max"
"San Jose",-60,11.2076584546981,938
"Santa Barbara",-27,15.6662611516626,265
"Sarasota",-44,6.91523341523342,286
"Savannah",-24,8.52536576097283,412
"Seattle",-83,12.6021535063501,1124
"Shreveport",-42,8.34098939929329,330
"Sioux City",-28,4.44035346097202,196
"Sioux Falls",-32,6.45454545454545,333
"Sitka",-20,13.4108949416342,572
"South Bend",-27,6.3819587628866,294
"South Burlington",-29,17.7423822714681,431
"Spokane",-44,12.1461038961039,368
"Springfield",-22,6.60974384731291,308
"Syracuse",-64,11.0326116744314,435
"Tallahassee",-25,10.4348462664714,408
"Tampa",-56,10.9972757653991,625
"Toledo",-17,9.18181818181818,318
"Traverse City",-42,8.15335169880624,586
"Tucson",-50,12.0879400825394,613
"Tulsa",-39,10.6963227783452,783
"Unalaska",-29,12.5141129032258,255
"Valparaiso",-28,4.76520400307929,391
"Washington",-75,8.26797803309082,846
"West Palm Beach",-63,11.7676552733076,882
"White Plains",-36,13.8005464480874,608
"Wichita",-34,12.3376954995212,342
"Wilmington",-24,7.06632173095014,207
"Windsor Locks",-56,10.2306527638909,473
"Wrangell",-26,13.8188512518409,364
"Yakutat",-22,17.8147612156295,322
