"","2000-01-01","2000-01-02","2000-01-03","2000-01-04","2000-01-05","2000-01-06","2000-01-07","2000-01-08","2000-01-09","2000-01-10","2000-01-11","2000-01-12","2000-01-13","2000-01-14","2000-01-15","2000-01-16","2000-01-17","2000-01-18","2000-01-19","2000-01-20","2000-01-21","2000-01-22","2000-01-23","2000-01-24","2000-01-25","2000-01-26","2000-01-27","2000-01-28","2000-01-29","2000-01-30","2000-01-31","2000-02-01","2000-02-02","2000-02-03","2000-02-04","2000-02-05","2000-02-06","2000-02-07","2000-02-08","2000-02-09","2000-02-10","2000-02-11","2000-02-12","2000-02-13","2000-02-14","2000-02-15","2000-02-16","2000-02-17","2000-02-18","2000-02-19","2000-02-20","2000-02-21","2000-02-22","2000-02-23","2000-02-24","2000-02-25","2000-02-26","2000-02-27","2000-02-28","2000-02-29","2000-03-01","2000-03-02","2000-03-03","2000-03-04","2000-03-05","2000-03-06","2000-03-07","2000-03-08","2000-03-09","2000-03-10","2000-03-11","2000-03-12","2000-03-13","2000-03-14","2000-03-15","2000-03-16","2000-03-17","2000-03-18","2000-03-19","2000-03-20","2000-03-21","2000-03-22","2000-03-23","2000-03-24","2000-03-25","2000-03-26","2000-03-27","2000-03-28","2000-03-29","2000-03-30","2000-03-31","2000-04-01","2000-04-02","2000-04-03","2000-04-04","2000-04-05","2000-04-06","2000-04-07","2000-04-08","2000-04-09","2000-04-10","2000-04-11","2000-04-12","2000-04-13","2000-04-14","2000-04-15","2000-04-16","2000-04-17","2000-04-18","2000-04-19","2000-04-20","2000-04-21","2000-04-22","2000-04-23","2000-04-24","2000-04-25","2000-04-26","2000-04-27","2000-04-28","2000-04-29","2000-04-30","2000-05-01","2000-05-02","2000-05-03","2000-05-04","2000-05-05","2000-05-06","2000-05-07","2000-05-08","2000-05-09","2000-05-10","2000-05-11","2000-05-12","2000-05-13","2000-05-14","2000-05-15","2000-05-16","2000-05-17","2000-05-18","2000-05-19","2000-05-20","2000-05-21","2000-05-22","2000-05-23","2000-05-24","2000-05-25","2000-05-26","2000-05-27","2000-05-28","2000-05-29","2000-05-30","2000-05-31","2000-06-01","2000-06-02","2000-06-03","2000-06-04","2000-06-05","2000-06-06","2000-06-07","2000-06-08","2000-06-09","2000-06-10","2000-06-11","2000-06-12","2000-06-13","2000-06-14","2000-06-15","2000-06-16","2000-06-17","2000-06-18","2000-06-19","2000-06-20","2000-06-21","2000-06-22","2000-06-23","2000-06-24","2000-06-25","2000-06-26","2000-06-27","2000-06-28","2000-06-29","2000-06-30","2000-07-01","2000-07-02","2000-07-03","2000-07-04","2000-07-05","2000-07-06","2000-07-07","2000-07-08","2000-07-09","2000-07-10","2000-07-11","2000-07-12","2000-07-13","2000-07-14","2000-07-15","2000-07-16","2000-07-17","2000-07-18","2000-07-19","2000-07-20","2000-07-21","2000-07-22","2000-07-23","2000-07-24","2000-07-25","2000-07-26","2000-07-27","2000-07-28","2000-07-29","2000-07-30","2000-07-31","2000-08-01","2000-08-02","2000-08-03","2000-08-04","2000-08-05","2000-08-06","2000-08-07","2000-08-08","2000-08-09","2000-08-10","2000-08-11","2000-08-12","2000-08-13","2000-08-14","2000-08-15","2000-08-16","2000-08-17","2000-08-18","2000-08-19","2000-08-20","2000-08-21","2000-08-22","2000-08-23","2000-08-24","2000-08-25","2000-08-26","2000-08-27","2000-08-28","2000-08-29","2000-08-30","2000-08-31","2000-09-01","2000-09-02","2000-09-03","2000-09-04","2000-09-05","2000-09-06","2000-09-07","2000-09-08","2000-09-09","2000-09-10","2000-09-11","2000-09-12","2000-09-13","2000-09-14","2000-09-15","2000-09-16","2000-09-17","2000-09-18","2000-09-19","2000-09-20","2000-09-21","2000-09-22","2000-09-23","2000-09-24","2000-09-25","2000-09-26","2000-09-27","2000-09-28","2000-09-29","2000-09-30","2000-10-01","2000-10-02","2000-10-03","2000-10-04","2000-10-05","2000-10-06","2000-10-07","2000-10-08","2000-10-09","2000-10-10","2000-10-11","2000-10-12","2000-10-13","2000-10-14","2000-10-15","2000-10-16","2000-10-17","2000-10-18","2000-10-19","2000-10-20","2000-10-21","2000-10-22","2000-10-23","2000-10-24","2000-10-25","2000-10-26","2000-10-27","2000-10-28","2000-10-29","2000-10-30","2000-10-31","2000-11-01","2000-11-02","2000-11-03","2000-11-04","2000-11-05","2000-11-06","2000-11-07","2000-11-08","2000-11-09","2000-11-10","2000-11-11","2000-11-12","2000-11-13","2000-11-14","2000-11-15","2000-11-16","2000-11-17","2000-11-18","2000-11-19","2000-11-20","2000-11-21","2000-11-22","2000-11-23","2000-11-24","2000-11-25","2000-11-26","2000-11-27","2000-11-28","2000-11-29","2000-11-30","2000-12-01","2000-12-02","2000-12-03","2000-12-04","2000-12-05","2000-12-06","2000-12-07","2000-12-08","2000-12-09","2000-12-10","2000-12-11","2000-12-12","2000-12-13","2000-12-14","2000-12-15","2000-12-16","2000-12-17","2000-12-18","2000-12-19","2000-12-20","2000-12-21","2000-12-22","2000-12-23","2000-12-24","2000-12-25","2000-12-26","2000-12-27","2000-12-28","2000-12-29","2000-12-30","2000-12-31"
"Hawaii",1,2,0,2,0,0,0,0,1,1,2,1,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,2,0,1,0,1,2,1,2,1,1,0,2,1,3,1,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,1,1,2,1,0,7,4,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,4,25,0,1,7,2,3,0,0,0,4,3,7,4,6,3,0,0,0,0,4,3,6,4,1,1,3,0,2,1,2,2,7,3,6,4,6,6,4,5,5,3,12,8,3,2,6,2,3,4,1,3,2,6,1,0,4,1,7,2,3
"Idaho",3,0,1,0,1,0,0,0,3,0,1,0,0,0,0,1,0,1,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,2,1,0,0,0,0,0,0,1,1,2,0,0,2,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,2,0,1,0,0,0,1,0,1,2,1,1,1,1,2,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,4,13,2,0,1,1,0,2,2,1,2,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1
"Illinois",25,21,92,42,46,36,29,9,47,53,30,40,99,21,9,15,115,38,217,160,51,82,27,40,280,73,75,50,52,136,45,27,20,40,98,15,14,30,26,31,63,46,14,96,74,34,37,92,671,65,24,29,45,43,60,124,22,20,32,30,25,31,22,13,15,12,28,29,41,30,19,10,31,18,53,36,34,15,19,97,51,22,24,17,14,7,28,32,20,18,18,8,13,18,29,23,15,106,54,30,33,40,26,23,14,21,34,60,40,164,316,164,36,28,29,21,33,19,19,15,7,19,29,15,24,29,23,25,80,141,172,174,161,63,21,27,35,84,464,150,57,35,39,34,60,21,29,29,22,16,29,157,64,120,16,23,25,46,27,28,14,37,26,111,357,320,150,102,64,31,44,138,80,38,57,90,69,76,66,36,29,17,8,18,20,9,30,21,19,50,47,184,49,32,36,126,58,68,95,51,40,32,19,27,33,42,56,89,57,233,76,129,138,79,123,116,95,118,131,83,86,64,43,53,36,16,46,40,31,156,42,37,33,35,35,60,52,28,44,22,31,25,31,23,21,12,9,6,18,19,11,17,16,31,396,88,27,11,18,11,12,20,28,29,14,120,26,11,18,30,15,16,21,15,10,22,25,26,17,36,21,15,17,12,27,12,10,9,13,44,23,20,16,12,13,6,24,50,49,17,19,20,13,25,50,30,31,20,13,23,127,29,32,98,27,18,16,29,34,33,70,25,14,26,66,26,27,4,7,5,19,10,20,62,33,50,37,22,38,46,38,148,23,26,24,857,175,341,129,132,248,94,199,64,88,36,21,36,5,30,47,17,33,107,128,40
"Indiana",6,3,6,4,0,3,2,0,1,2,3,1,0,3,0,0,5,2,6,11,3,5,6,2,20,4,3,5,11,12,3,3,1,1,4,2,0,1,1,1,5,3,2,5,5,4,1,2,18,9,1,1,1,1,5,4,2,2,1,1,1,0,2,1,0,2,0,1,1,1,4,0,4,0,1,0,2,1,0,2,3,2,0,0,1,2,3,1,2,0,0,0,0,1,2,2,2,2,2,2,0,1,2,1,1,2,2,1,3,4,13,10,3,2,1,3,3,3,3,1,1,1,3,1,2,1,2,0,2,5,6,5,6,2,1,2,3,3,13,8,7,2,5,3,5,2,1,1,1,2,0,3,2,6,1,2,3,2,2,3,3,1,1,5,8,9,15,11,3,1,5,6,7,2,2,5,1,4,4,0,3,1,0,0,2,1,1,0,1,1,4,7,2,2,2,11,4,8,4,2,2,2,1,0,2,5,1,3,1,13,8,6,4,4,6,8,5,2,6,2,5,3,4,3,2,1,2,2,3,9,9,2,1,4,2,4,6,1,4,3,4,2,2,1,1,2,0,0,3,3,3,1,2,2,6,4,1,1,3,3,0,1,2,2,3,1,1,2,1,0,3,0,2,4,1,2,0,1,3,1,2,0,2,1,3,1,2,1,1,4,4,1,2,0,0,1,2,4,6,3,1,1,0,0,10,1,0,5,0,1,4,2,6,1,2,3,0,0,1,1,2,2,2,5,3,4,2,2,0,2,1,2,0,4,4,1,2,3,1,3,4,2,0,1,4,21,11,27,11,7,10,11,4,4,4,6,4,3,0,8,6,2,2,2,4,6
"Iowa",0,0,3,2,2,0,0,1,5,1,0,1,1,0,0,0,5,2,6,4,1,0,0,0,0,1,1,2,1,0,0,1,1,0,0,0,0,2,2,0,0,0,0,2,2,1,1,4,16,7,0,0,2,0,0,2,0,0,1,1,0,2,0,0,0,0,1,1,0,0,1,0,1,0,3,2,0,0,0,2,5,0,0,2,2,1,0,1,0,1,0,0,0,0,0,1,0,2,4,0,1,1,1,0,0,0,1,2,1,3,5,4,1,1,1,2,0,0,0,0,1,3,1,0,2,1,0,1,1,0,1,4,4,3,0,1,1,1,6,8,4,2,1,0,1,2,5,3,0,0,1,4,4,2,0,2,2,1,0,1,1,0,1,2,10,10,6,4,5,2,1,4,1,1,2,3,2,2,1,0,1,1,1,0,2,0,1,2,0,3,0,3,2,2,6,4,6,3,8,1,2,2,2,1,1,3,0,2,0,7,9,4,3,3,1,3,3,5,5,4,3,1,2,1,1,2,3,1,1,2,3,2,1,0,2,0,4,0,2,4,3,0,0,0,1,1,1,0,1,0,0,1,0,1,9,3,2,0,1,1,1,0,0,1,0,2,1,1,0,1,0,0,1,0,0,1,0,0,1,2,1,0,0,1,2,1,0,0,3,4,2,1,1,0,1,0,0,6,2,0,0,1,1,0,0,1,0,0,1,0,5,0,0,2,1,0,1,1,2,1,1,0,0,1,0,2,0,0,0,0,0,0,0,1,1,1,0,1,1,0,2,1,1,1,0,21,9,13,3,9,10,0,4,3,0,1,2,0,0,2,3,1,1,1,1,0
"Kansas",0,0,1,2,2,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,1,1,0,4,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,2,4,1,0,1,1,0,0,2,1,0,1,0,0,1,0,2,0,0,0,4,2,2,2,1,0,0,0,1,0,0,1,1,2,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,3,4,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,2,0,3,0,3,0,0,0,2,1,5,2,1,2,1,1,0,3,2,1,0,0,0,0,1,2,0,1,0,0,0,0,2,0,0,1,4,1,4,5,0,1,2,1,1,2,1,1,0,2,0,1,1,0,0,1,0,0,0,1,0,2,1,0,0,2,1,0,0,2,1,1,0,3,1,0,0,1,1,1,2,2,0,1,2,0,2,3,1,2,1,2,1,1,2,0,0,1,0,0,1,0,0,0,1,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,1,1,2,0,1,0,0,0,0,2,0,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,4,5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,5,3,8,4,7,9,0,2,0,0,0,1,1,0,2,3,2,2,1,0,1
"Kentucky",1,1,4,4,2,1,0,1,3,0,0,1,1,1,2,1,2,0,4,7,1,5,4,1,11,5,4,7,11,8,1,0,0,0,3,0,1,1,1,0,1,2,1,0,2,3,0,1,12,7,3,2,1,2,1,3,1,1,2,1,0,3,1,0,0,1,2,0,0,2,3,1,1,1,2,1,1,0,0,3,1,0,1,0,0,1,1,0,1,0,0,0,0,0,2,0,3,0,1,0,1,0,3,0,0,0,0,0,4,3,4,3,0,1,2,1,0,1,0,0,0,3,1,0,0,1,0,0,1,1,2,4,2,4,0,0,1,0,5,2,4,0,1,4,2,3,2,2,1,0,1,0,0,3,0,1,1,1,0,1,0,0,0,5,4,5,2,3,5,1,3,3,1,1,0,3,3,3,2,3,2,1,0,1,1,0,0,0,0,0,1,0,2,1,0,2,2,2,0,2,1,1,0,0,0,1,1,0,0,6,5,3,2,0,4,1,0,0,5,1,3,0,3,1,1,0,0,0,0,2,1,0,2,0,0,1,3,1,2,0,3,0,1,1,0,1,1,1,0,1,2,1,0,1,1,5,1,0,0,0,0,0,1,1,3,0,1,0,2,1,0,0,1,1,0,0,0,0,1,0,0,0,2,1,0,1,1,0,2,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,8,1,0,0,1,0,2,0,0,1,1,0,0,1,1,1,0,1,0,2,1,0,0,1,0,0,0,1,1,0,1,2,1,1,0,1,1,1,1,2,2,12,6,31,12,1,6,7,6,2,0,4,1,1,3,7,5,1,4,3,5,3
"Louisiana",4,2,1,1,1,0,2,0,1,3,4,3,1,2,0,2,1,3,4,4,4,3,4,0,17,5,24,18,14,13,7,3,1,1,1,2,2,0,9,3,2,2,2,2,0,4,2,2,9,1,0,0,2,2,4,0,0,1,0,1,2,3,2,0,0,1,1,1,1,2,1,0,1,2,1,0,0,0,2,5,1,3,1,0,2,1,0,3,2,1,2,2,1,0,1,2,0,5,1,0,1,8,6,2,2,1,0,2,0,0,0,2,3,0,0,0,0,0,0,1,0,0,1,1,3,1,2,3,1,1,4,3,5,2,0,2,3,1,7,9,6,1,1,1,0,0,1,3,1,2,3,5,2,2,3,1,1,4,2,1,0,3,1,5,5,12,10,7,7,1,2,7,5,0,0,4,2,1,4,3,1,2,1,1,0,2,1,2,0,1,2,4,3,2,4,2,6,6,3,5,4,3,1,1,3,1,1,2,1,3,2,2,6,5,8,5,2,7,1,4,5,2,1,1,1,1,0,1,2,5,2,0,2,3,2,1,4,1,1,0,2,1,1,2,1,3,2,0,2,2,1,1,2,1,6,7,3,1,2,2,0,1,1,0,1,1,2,0,2,1,0,2,1,0,3,3,1,4,1,1,1,2,1,3,1,0,0,1,1,3,1,0,0,1,1,1,1,2,3,3,1,0,2,1,2,2,1,4,1,4,5,6,3,6,0,1,3,4,3,1,1,4,3,0,1,1,2,1,1,1,0,0,0,3,1,0,8,0,5,2,2,1,2,4,1,12,11,39,5,19,24,9,12,3,1,6,2,1,1,9,12,7,0,6,11,15
"Maine",1,1,0,4,1,2,0,0,0,1,1,0,1,2,0,5,4,1,2,2,3,0,3,1,7,8,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,2,0,1,2,1,2,0,3,6,0,0,1,0,0,1,0,3,2,0,0,0,0,1,0,0,0,1,1,1,0,4,0,0,1,0,4,0,0,3,2,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,6,2,0,1,2,0,1,1,2,1,2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,2,0,0,1,2,2,3,1,2,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,2,1,0,5,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,1,3,3,0,3,1,0,1,0,2,1,0,0,1,4,9
"Maryland",13,2,1,3,0,7,2,2,0,4,3,5,5,3,1,1,5,3,6,70,5,3,4,5,215,70,7,8,9,58,33,4,3,6,2,1,1,0,1,2,6,11,4,5,8,5,3,0,22,4,2,4,3,1,2,4,2,5,0,4,1,2,2,0,2,2,4,1,0,2,3,2,0,1,3,0,0,0,0,4,5,2,1,0,1,1,0,2,0,1,1,3,1,3,1,0,3,3,5,0,2,4,0,0,1,1,0,2,3,5,8,4,4,3,2,2,2,1,2,4,1,2,4,8,2,2,1,2,0,3,41,5,1,5,1,0,3,0,15,10,2,1,7,6,10,1,2,1,2,1,2,2,2,10,2,2,1,4,4,2,0,2,4,3,15,22,37,12,13,3,1,4,9,3,4,3,6,3,12,6,9,6,1,4,2,2,1,1,0,1,1,14,2,1,1,29,6,4,4,4,4,1,1,1,1,3,3,2,0,25,6,2,8,10,4,16,6,3,7,2,3,11,2,5,4,1,3,2,4,3,2,1,0,0,0,3,3,0,1,8,3,3,0,2,1,3,3,1,1,1,2,1,1,1,8,8,2,1,2,5,8,4,1,4,2,4,1,2,1,1,2,2,3,4,3,2,2,5,3,2,3,1,2,2,4,2,2,1,1,2,6,3,2,1,2,0,1,6,5,19,2,3,2,4,4,0,1,1,1,3,4,4,1,5,0,0,4,2,4,2,2,4,2,5,7,9,0,0,2,0,1,0,7,3,1,4,4,4,6,2,3,9,2,5,4,23,15,14,12,7,23,18,9,4,3,7,1,3,2,10,8,4,3,4,41,6
"Massachusetts",9,8,17,27,14,15,11,3,5,24,12,11,95,49,14,13,43,20,17,77,84,17,15,14,248,87,25,14,22,50,33,13,13,14,18,5,12,6,8,8,20,42,14,20,50,15,14,13,108,55,3,1,16,11,14,13,5,3,10,9,6,11,7,3,6,8,9,11,9,7,11,9,8,6,11,16,46,11,6,13,20,17,12,7,5,2,3,55,7,6,12,9,9,13,35,14,6,9,13,16,12,8,11,4,4,1,9,7,8,27,22,57,73,79,63,19,52,15,6,4,4,4,12,5,7,12,8,5,13,21,148,41,14,43,13,4,5,9,65,52,8,3,17,9,51,32,8,9,4,5,6,11,15,42,14,4,6,50,16,8,17,9,21,51,34,55,58,32,38,17,25,12,36,26,14,11,19,25,68,25,26,9,6,7,7,5,8,13,1,14,7,28,25,3,12,103,21,53,48,39,15,9,8,8,4,12,19,40,42,73,29,28,61,59,50,43,26,15,19,38,21,30,13,32,27,30,42,30,57,12,15,6,5,7,16,29,14,6,8,8,9,11,8,11,9,7,12,17,11,5,8,10,8,9,20,32,17,11,36,17,11,11,18,10,10,9,8,5,10,28,15,8,7,6,7,9,11,11,9,23,8,10,14,10,9,10,7,8,5,21,15,15,8,9,5,3,8,11,12,13,12,19,8,30,45,17,19,13,12,13,16,8,13,17,20,8,6,9,25,14,15,12,14,13,23,9,9,4,3,2,9,7,19,17,19,12,17,15,29,19,10,21,15,14,12,51,67,48,92,29,28,95,41,18,89,15,18,10,11,20,18,13,12,10,119,74
"Michigan",58,29,12,9,4,10,6,0,7,15,18,11,43,9,3,2,10,14,20,53,8,12,15,11,111,25,27,9,19,33,19,7,7,9,17,1,6,15,11,8,65,18,10,15,15,20,21,13,162,14,4,7,6,11,10,16,3,7,7,1,17,4,9,1,4,13,12,7,8,7,2,2,2,6,14,8,8,3,18,14,39,6,2,1,2,2,5,16,7,1,2,1,3,7,9,5,5,10,5,3,4,8,3,1,1,2,3,18,3,11,163,29,9,3,2,7,4,1,2,2,1,3,1,4,4,5,3,0,5,41,64,13,10,14,2,2,7,7,207,47,2,3,8,7,13,5,3,8,3,2,7,11,11,36,5,7,8,14,9,7,5,9,12,15,46,85,49,56,16,5,5,18,32,12,6,9,13,13,12,7,14,9,1,4,14,2,6,3,11,4,5,21,8,7,4,73,6,16,11,4,6,1,7,0,2,10,4,12,13,109,29,17,27,19,57,41,19,14,11,13,13,13,7,11,13,7,14,24,6,11,8,6,3,3,12,15,7,8,7,8,8,12,8,9,5,3,6,6,10,9,5,4,6,6,124,31,5,7,10,9,6,11,15,17,2,10,13,10,10,20,4,7,4,5,4,21,16,11,6,7,9,5,6,4,7,10,1,2,5,15,11,7,2,3,4,5,8,12,16,13,9,6,2,9,15,11,9,13,5,8,14,9,16,31,13,7,4,12,21,9,16,7,5,16,41,16,16,10,1,1,10,9,8,16,8,6,8,12,5,11,7,33,4,5,17,260,110,110,41,20,41,68,45,19,13,11,15,5,11,21,19,4,6,19,45,6
"Minnesota",48,12,7,10,22,9,4,2,20,11,7,85,10,5,8,6,8,4,138,30,9,12,10,9,58,14,17,10,13,21,12,13,12,8,16,5,7,15,11,11,8,13,8,8,12,7,11,11,54,9,8,6,9,51,68,36,5,0,4,7,5,6,10,1,4,11,14,17,8,5,4,3,6,2,7,6,11,4,4,19,34,5,5,5,1,1,6,5,0,5,3,6,3,7,9,10,3,9,7,5,7,8,8,5,6,3,7,10,11,25,48,25,4,5,10,12,2,6,8,7,3,4,3,6,3,5,1,4,6,12,36,17,15,7,5,3,5,14,62,15,6,4,3,9,9,7,8,5,4,5,10,15,20,26,5,8,8,12,8,4,3,11,9,13,37,33,37,17,14,4,9,17,14,7,8,7,11,13,10,4,3,1,1,4,2,5,9,4,12,8,9,12,5,8,6,37,7,13,16,9,4,3,4,4,5,3,8,14,6,50,10,11,18,23,17,24,11,17,13,14,14,8,9,10,5,2,7,9,8,17,6,2,2,2,6,7,6,4,8,10,9,12,10,9,7,9,2,3,0,7,4,6,5,8,49,18,5,6,5,2,3,9,11,7,11,14,7,8,6,11,4,6,11,4,6,11,10,12,9,21,10,8,13,8,7,4,5,5,6,8,12,2,4,7,4,1,5,9,11,3,10,7,3,7,15,12,12,7,4,9,22,15,15,22,10,13,26,20,23,14,18,6,5,20,26,12,14,4,3,2,14,11,17,14,13,13,8,14,9,13,16,19,12,9,17,81,43,61,22,29,45,22,78,18,9,12,9,8,18,21,20,10,60,18,28,7
"Mississippi",0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,3,0,14,8,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,2,1,2,0,0,0,0,1,0,1,1,0,0,0,2,1,1,0,0,0,2,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,6,4,6,0,2,4,1,2,2,0,2,2,0,0,3,3,2,1,0,2,5
"Missouri",5,6,35,9,5,11,5,6,7,6,7,11,9,8,2,2,32,18,19,30,8,9,17,15,74,21,49,30,57,31,12,8,5,14,30,3,0,18,4,9,9,11,8,19,16,14,15,34,67,15,5,6,9,9,7,23,7,1,7,5,5,13,6,6,0,2,16,15,9,9,27,3,12,12,16,15,5,4,4,16,17,3,4,5,7,4,1,8,7,7,1,3,2,5,4,6,1,19,16,3,5,11,8,7,4,6,13,11,4,14,36,24,12,9,3,5,3,5,1,9,2,13,6,5,9,6,5,4,7,14,35,18,16,21,5,6,6,8,34,25,12,6,8,6,10,10,87,21,5,3,2,14,12,15,11,13,10,8,6,8,2,5,6,19,35,72,23,57,28,12,13,28,19,9,17,15,7,8,12,9,13,5,2,4,3,1,2,6,4,3,6,13,11,11,18,19,13,11,23,15,9,17,9,2,2,3,7,7,8,116,23,10,12,7,17,21,14,12,8,13,10,8,9,6,14,5,8,3,7,14,5,6,3,6,8,13,11,15,6,4,18,12,12,8,7,0,1,1,6,7,5,5,4,1,22,24,9,7,1,6,6,9,10,8,5,7,7,6,12,6,6,4,8,2,5,7,6,14,37,14,9,4,5,10,15,15,16,8,10,34,14,6,8,7,5,3,9,14,7,13,7,8,4,11,22,11,3,5,4,10,71,9,7,47,3,4,5,6,4,7,3,7,6,3,6,9,3,2,5,1,1,4,4,9,7,6,4,6,6,9,8,12,4,8,8,140,48,271,35,140,48,24,63,15,18,13,11,7,4,13,40,11,11,36,44,11
