"state","mean_dist"
"Alabama",570.657988989852
"Alaska",1208.45300283218
"Arizona",1310.05466027768
"Arkansas",548.193504428799
"California",1497.5160653823
"Colorado",1406.08389828783
"Connecticut",1225.65931400525
"District of Columbia",1173.29527341039
"Florida",1394.08473139172
"Georgia",1047.76328257581
"Hawaii",2807.37856291319
"Idaho",826.601563759471
"Illinois",1270.20857709259
"Indiana",779.419998907462
"Iowa",541.3696034873
"Kansas",745.280384307446
"Kentucky",623.810361104555
"Louisiana",935.964416527172
"Maine",995.014843883296
"Maryland",1118.99382931133
"Massachusetts",1513.70600498002
"Michigan",934.125942315481
"Minnesota",1262.03393272457
"Mississippi",630.976634102125
"Missouri",1067.01697156518
"Montana",919.233247853718
"Nebraska",874.226373738403
"Nevada",1226.91124081776
"New Hampshire",857.521596663688
"New Jersey",1734.14065343617
"New Mexico",975.449994440738
"New York",1324.78357599966
"North Carolina",782.192066262223
"North Dakota",503.76900070373
"Ohio",1051.15588305151
"Oklahoma",701.216657705405
"Oregon",1463.45408283625
"Pennsylvania",1072.14868769408
"Rhode Island",1021.51654144211
"South Carolina",363.580723831821
"South Dakota",573.465185818026
"Tennessee",949.544326390409
"Texas",1178.53815798722
"Utah",1318.57747759283
"Vermont",797.194707740916
"Virginia",711.63583186361
"Washington",1692.7661008767
"West Virginia",280.793220338983
"Wisconsin",640.643863729648
"Wyoming",1020.52142857143
