"Hour","flights"
"1",65047
"2",21154
"3",6759
"4",2538
"5",21940
"6",36422
"7",117056
"8",228125
"9",269341
"10",310961
"11",342703
"12",325695
"13",318117
"14",308933
"15",318916
"16",334043
"17",329243
"18",348628
"19",313626
"20",341628
"21",341458
"22",317350
"23",252674
"24",150583
