"state","Dist_from","Dist_to"
"Alabama",570.657988989852,561.668826232109
"Alaska",1208.45300283218,1209.66161396383
"Arizona",1310.05466027768,1309.86289186073
"Arkansas",548.193504428799,548.458987915408
"California",1497.5160653823,1494.93698983013
"Colorado",1406.08389828783,1402.14379400004
"Connecticut",1225.65931400525,1230.75126730079
"District of Columbia",1173.29527341039,1183.45110279982
"Florida",1394.08473139172,1392.28418923571
"Georgia",1047.76328257581,1062.37387524753
"Hawaii",2807.37856291319,2807.36871407397
"Idaho",826.601563759471,826.619752292102
"Illinois",1270.20857709259,1274.25382039
"Indiana",779.419998907462,782.736982570806
"Iowa",541.3696034873,525.15790352195
"Kansas",745.280384307446,745.795599489796
"Kentucky",623.810361104555,617.99385061298
"Louisiana",935.964416527172,940.252046638551
"Maine",995.014843883296,1044.16272742731
"Maryland",1118.99382931133,1134.24887060886
"Massachusetts",1513.70600498002,1519.84235006356
"Michigan",934.125942315481,926.844740790939
"Minnesota",1262.03393272457,1265.86351294689
"Mississippi",630.976634102125,632.267318745588
"Missouri",1067.01697156518,1064.36698794442
"Montana",919.233247853718,923.714768122467
"Nebraska",874.226373738403,872.792677972987
"Nevada",1226.91124081776,1200.3646416835
"New Hampshire",857.521596663688,830.407762658934
"New Jersey",1734.14065343617,1732.85854550497
"New Mexico",975.449994440738,974.705821898783
"New York",1324.78357599966,1322.60173824374
"North Carolina",782.192066262223,780.666407831609
"North Dakota",503.76900070373,503.781518499036
"Ohio",1051.15588305151,1057.06796650288
"Oklahoma",701.216657705405,702.015680065376
"Oregon",1463.45408283625,1446.02942116507
"Pennsylvania",1072.14868769408,1070.57894464004
"Rhode Island",1021.51654144211,1021.97460592004
"South Carolina",363.580723831821,363.23519087319
"South Dakota",573.465185818026,573.312153518124
"Tennessee",949.544326390409,949.30985915493
"Texas",1178.53815798722,1178.95137044789
"Utah",1318.57747759283,1326.5556435239
"Vermont",797.194707740916,772.067562228368
"Virginia",711.63583186361,704.986842105263
"Washington",1692.7661008767,1699.13415107188
"West Virginia",280.793220338983,280.746835443038
"Wisconsin",640.643863729648,640.07289014187
"Wyoming",1020.52142857143,1019.68912529551
