"state","min","mean","max"
"Alabama",-36,6.5682828148836,1173
"Alaska",-67,11.8131248335794,670
"Arizona",-60,14.0093033542204,1430
"Arkansas",-19,7.88833371186312,361
"California",-54,12.9429556528202,1320
"Colorado",-24,15.6400035288449,1435
"Connecticut",-64,8.74674694669558,1037
"District of Columbia",-45,9.01272947757271,1212
"Florida",-41,10.8561607022243,1435
"Georgia",-990,11.2543213004984,1435
"Hawaii",-24,5.70228676709656,1383
"Idaho",-13,11.4481702402064,415
"Illinois",-36,16.6621299658687,1360
"Indiana",-20,8.69821370042609,919
"Iowa",-22,7.841227261296,947
"Kansas",-23,6.97373899119295,453
"Kentucky",-32,8.46023129572811,1435
"Louisiana",-45,7.99123257702571,1064
"Maine",-17,8.27657396348746,952
"Maryland",-27,11.6048848475312,1142
"Massachusetts",-60,11.9773293184319,1429
"Michigan",-88,10.8619368021425,1129
"Minnesota",-62,8.96086004980824,1307
"Mississippi",-38,6.55433578406687,1418
"Missouri",-38,11.1985533010482,1281
"Montana",-34,5.89251867543762,1430
"Nebraska",-21,10.2770414925069,1164
"Nevada",-61,13.8413803094047,1413
"New Hampshire",-40,10.7571492403932,1039
"New Jersey",-23,12.040653436173,1295
"New Mexico",-30,10.174505225706,1139
"New York",-45,11.3675213675214,1425
"North Carolina",-35,8.6042106429541,1138
"North Dakota",-13,1.83884588318086,963
"Ohio",-24,8.69337226209717,1435
"Oklahoma",-36,8.90055559822823,1109
"Oregon",-37,10.8097765645536,1416
"Pennsylvania",-40,11.1992580083701,1301
"Rhode Island",-19,8.18394240981865,1128
"South Carolina",-21,4.73890352160765,733
"South Dakota",-14,2.79239641178983,650
"Tennessee",-50,8.11658724679654,1091
"Texas",-60,10.2951574952054,1435
"Utah",-35,9.50640204865557,975
"Vermont",-16,11.7263033175355,568
"Virginia",-25,7.20108759553204,1044
"Washington",-64,11.9514840133445,1124
"West Virginia",-18,4.27372881355932,241
"Wisconsin",-24,5.23026405801067,1009
"Wyoming",-17,15.2214285714286,1235
