"state","mean/flights"
"Alabama",0.000217824594245659
"Alaska",0.000285955915702342
"Arizona",6.8850243785332e-05
"Arkansas",0.000597193861144911
"California",1.90869772967277e-05
"Colorado",0.000106136820977931
"Connecticut",0.000249593281209211
"District of Columbia",6.31758467806388e-05
"Florida",3.12027681476199e-05
"Georgia",4.32103991510914e-05
"Hawaii",0.000206000027712025
"Idaho",0.00092279302274757
"Illinois",5.05063017680058e-05
"Indiana",0.000237578217535947
"Iowa",0.000657324776703496
"Kansas",0.00111669159186436
"Kentucky",0.00033279172746944
"Louisiana",0.000132443319638459
"Maine",0.00141214365526147
"Maryland",0.000130437397829931
"Massachusetts",0.000115595665821529
"Michigan",6.56639692543237e-05
"Minnesota",6.14772333084629e-05
"Mississippi",0.000660120433484427
"Missouri",4.90343078747373e-05
"Montana",0.000656987253365773
"Nebraska",0.000523857757799311
"Nevada",8.35463854062199e-05
"New Hampshire",0.000801098394429044
"New Jersey",0.000104347460232022
"New Mexico",0.000282813687616912
"New York",5.42480749785078e-05
"North Carolina",4.76700775254389e-05
"North Dakota",0.000323512646583543
"Ohio",5.03604517480126e-05
"Oklahoma",0.000227886309707049
"Oregon",0.00018214835986509
"Pennsylvania",4.83687759227175e-05
"Rhode Island",0.00032193628928125
"South Carolina",0.000231143474861362
"South Dakota",0.000596411023449345
"Tennessee",6.83340959335613e-05
"Texas",1.72291780246499e-05
"Utah",0.000121720896909802
"Vermont",0.00463124143662541
"Virginia",0.000211672180938626
"Washington",0.000103027370096846
"West Virginia",0.00362180407928756
"Wisconsin",0.000238530763807665
"Wyoming",0.0181207482993197
