"city","min","mean","max"
"San Diego",-25,11.9146046563941,930
"San Francisco",-28,16.2327558562434,1320
"San Jose",-20,11.2683586782356,769
"Santa Barbara",-10,16.6047831374139,292
"Sarasota",-18,6.05644499178982,986
"Savannah",-18,6.26347760060744,399
"Seattle",-64,12.4406075989217,1124
"Shreveport",-45,7.57601649970536,423
"Sioux City",-12,0.656848306332842,508
"Sioux Falls",-13,3.45565927654609,650
"Sitka",-26,10.7192575406032,556
"South Bend",-20,2.63233779608651,381
"South Burlington",-16,11.7263033175355,568
"Spokane",-25,9.31378004482572,777
"Springfield",-13,3.46381909547739,245
"Syracuse",-28,5.4511615145418,542
"Tallahassee",-12,8.64975609756098,391
"Tampa",-29,10.3040266328472,1151
"Toledo",-11,1.58323494687131,227
"Traverse City",-10,7.39449541284404,1046
"Tucson",-30,8.81716589273868,1137
"Tulsa",-35,8.65474911769219,1109
"Unalaska",-22,14.3447580645161,250
"Valparaiso",-13,1.0015467904099,577
"Washington",-45,9.01272947757271,1212
"West Palm Beach",-17,11.5989901674196,680
"White Plains",-20,11.4863698318946,845
"Wichita",-23,6.97373899119295,453
"Wilmington",-13,1.83036551077788,462
"Windsor Locks",-64,8.74674694669558,1037
"Wrangell",-37,11.3720930232558,367
"Yakutat",-15,14.5667613636364,327
