"","2000-01-01","2000-01-02","2000-01-03","2000-01-04","2000-01-05","2000-01-06","2000-01-07","2000-01-08","2000-01-09","2000-01-10","2000-01-11","2000-01-12","2000-01-13","2000-01-14","2000-01-15","2000-01-16","2000-01-17","2000-01-18","2000-01-19","2000-01-20","2000-01-21","2000-01-22","2000-01-23","2000-01-24","2000-01-25","2000-01-26","2000-01-27","2000-01-28","2000-01-29","2000-01-30","2000-01-31","2000-02-01","2000-02-02","2000-02-03","2000-02-04","2000-02-05","2000-02-06","2000-02-07","2000-02-08","2000-02-09","2000-02-10","2000-02-11","2000-02-12","2000-02-13","2000-02-14","2000-02-15","2000-02-16","2000-02-17","2000-02-18","2000-02-19","2000-02-20","2000-02-21","2000-02-22","2000-02-23","2000-02-24","2000-02-25","2000-02-26","2000-02-27","2000-02-28","2000-02-29","2000-03-01","2000-03-02","2000-03-03","2000-03-04","2000-03-05","2000-03-06","2000-03-07","2000-03-08","2000-03-09","2000-03-10","2000-03-11","2000-03-12","2000-03-13","2000-03-14","2000-03-15","2000-03-16","2000-03-17","2000-03-18","2000-03-19","2000-03-20","2000-03-21","2000-03-22","2000-03-23","2000-03-24","2000-03-25","2000-03-26","2000-03-27","2000-03-28","2000-03-29","2000-03-30","2000-03-31","2000-04-01","2000-04-02","2000-04-03","2000-04-04","2000-04-05","2000-04-06","2000-04-07","2000-04-08","2000-04-09","2000-04-10","2000-04-11","2000-04-12","2000-04-13","2000-04-14","2000-04-15","2000-04-16","2000-04-17","2000-04-18","2000-04-19","2000-04-20","2000-04-21","2000-04-22","2000-04-23","2000-04-24","2000-04-25","2000-04-26","2000-04-27","2000-04-28","2000-04-29","2000-04-30","2000-05-01","2000-05-02","2000-05-03","2000-05-04","2000-05-05","2000-05-06","2000-05-07","2000-05-08","2000-05-09","2000-05-10","2000-05-11","2000-05-12","2000-05-13","2000-05-14","2000-05-15","2000-05-16","2000-05-17","2000-05-18","2000-05-19","2000-05-20","2000-05-21","2000-05-22","2000-05-23","2000-05-24","2000-05-25","2000-05-26","2000-05-27","2000-05-28","2000-05-29","2000-05-30","2000-05-31","2000-06-01","2000-06-02","2000-06-03","2000-06-04","2000-06-05","2000-06-06","2000-06-07","2000-06-08","2000-06-09","2000-06-10","2000-06-11","2000-06-12","2000-06-13","2000-06-14","2000-06-15","2000-06-16","2000-06-17","2000-06-18","2000-06-19","2000-06-20","2000-06-21","2000-06-22","2000-06-23","2000-06-24","2000-06-25","2000-06-26","2000-06-27","2000-06-28","2000-06-29","2000-06-30","2000-07-01","2000-07-02","2000-07-03","2000-07-04","2000-07-05","2000-07-06","2000-07-07","2000-07-08","2000-07-09","2000-07-10","2000-07-11","2000-07-12","2000-07-13","2000-07-14","2000-07-15","2000-07-16","2000-07-17","2000-07-18","2000-07-19","2000-07-20","2000-07-21","2000-07-22","2000-07-23","2000-07-24","2000-07-25","2000-07-26","2000-07-27","2000-07-28","2000-07-29","2000-07-30","2000-07-31","2000-08-01","2000-08-02","2000-08-03","2000-08-04","2000-08-05","2000-08-06","2000-08-07","2000-08-08","2000-08-09","2000-08-10","2000-08-11","2000-08-12","2000-08-13","2000-08-14","2000-08-15","2000-08-16","2000-08-17","2000-08-18","2000-08-19","2000-08-20","2000-08-21","2000-08-22","2000-08-23","2000-08-24","2000-08-25","2000-08-26","2000-08-27","2000-08-28","2000-08-29","2000-08-30","2000-08-31","2000-09-01","2000-09-02","2000-09-03","2000-09-04","2000-09-05","2000-09-06","2000-09-07","2000-09-08","2000-09-09","2000-09-10","2000-09-11","2000-09-12","2000-09-13","2000-09-14","2000-09-15","2000-09-16","2000-09-17","2000-09-18","2000-09-19","2000-09-20","2000-09-21","2000-09-22","2000-09-23","2000-09-24","2000-09-25","2000-09-26","2000-09-27","2000-09-28","2000-09-29","2000-09-30","2000-10-01","2000-10-02","2000-10-03","2000-10-04","2000-10-05","2000-10-06","2000-10-07","2000-10-08","2000-10-09","2000-10-10","2000-10-11","2000-10-12","2000-10-13","2000-10-14","2000-10-15","2000-10-16","2000-10-17","2000-10-18","2000-10-19","2000-10-20","2000-10-21","2000-10-22","2000-10-23","2000-10-24","2000-10-25","2000-10-26","2000-10-27","2000-10-28","2000-10-29","2000-10-30","2000-10-31","2000-11-01","2000-11-02","2000-11-03","2000-11-04","2000-11-05","2000-11-06","2000-11-07","2000-11-08","2000-11-09","2000-11-10","2000-11-11","2000-11-12","2000-11-13","2000-11-14","2000-11-15","2000-11-16","2000-11-17","2000-11-18","2000-11-19","2000-11-20","2000-11-21","2000-11-22","2000-11-23","2000-11-24","2000-11-25","2000-11-26","2000-11-27","2000-11-28","2000-11-29","2000-11-30","2000-12-01","2000-12-02","2000-12-03","2000-12-04","2000-12-05","2000-12-06","2000-12-07","2000-12-08","2000-12-09","2000-12-10","2000-12-11","2000-12-12","2000-12-13","2000-12-14","2000-12-15","2000-12-16","2000-12-17","2000-12-18","2000-12-19","2000-12-20","2000-12-21","2000-12-22","2000-12-23","2000-12-24","2000-12-25","2000-12-26","2000-12-27","2000-12-28","2000-12-29","2000-12-30","2000-12-31"
"Hawaii",5,2,1,1,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,2,0,2,2,1,0,2,0,2,3,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,25,0,2,7,2,3,0,0,0,4,3,7,4,7,2,0,0,0,0,4,3,6,3,0,1,3,0,2,1,2,2,7,3,4,4,7,6,4,5,5,3,13,8,3,2,6,2,3,4,1,3,1,6,1,0,5,0,6,3,4
"Idaho",2,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,2,1,0,1,0,0,1,0,1,0,2,2,0,1,0,2,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6,0,0,0,1,0,3,0,2,0,0,1,1,0,1,0,1,0,0,0,0,1,0,3,0,1,1
"Illinois",26,20,93,47,44,37,32,10,46,49,30,42,94,31,16,17,108,45,214,165,55,77,31,35,267,113,78,47,65,101,79,27,27,40,101,22,19,30,26,36,58,51,18,91,75,44,38,105,607,91,24,25,48,51,52,115,27,22,29,37,29,38,24,11,15,12,33,32,48,35,23,12,33,21,42,49,40,20,15,88,65,27,33,20,19,8,23,33,28,19,15,10,14,19,30,25,21,84,62,41,37,40,31,21,26,23,26,69,47,168,316,171,40,33,31,25,27,23,23,17,7,23,23,19,24,32,26,28,75,128,177,184,138,93,30,31,33,96,405,201,78,40,38,40,54,40,36,30,22,17,29,158,59,102,50,29,27,43,33,23,21,31,42,121,346,309,162,107,72,42,50,142,81,51,51,109,62,66,78,46,31,17,13,14,23,13,33,23,19,64,44,181,56,37,38,116,75,70,98,60,48,30,25,28,36,55,53,89,47,224,105,127,142,103,112,123,92,136,124,101,93,67,55,52,45,31,52,44,47,151,52,36,32,36,47,60,59,36,51,23,34,35,32,25,17,15,12,12,14,23,17,17,24,31,356,144,35,19,16,26,18,19,26,41,13,115,40,18,22,28,21,18,15,18,10,20,23,32,30,33,20,24,17,16,24,20,14,14,15,46,29,25,16,13,12,7,32,52,48,27,16,26,16,25,47,33,33,26,16,25,132,31,34,102,24,27,12,29,39,30,65,36,21,27,67,33,26,7,10,2,19,18,22,66,39,54,38,24,35,52,43,147,32,26,40,792,164,351,135,156,245,78,210,62,86,47,27,34,11,33,48,24,38,96,130,63
"Indiana",5,3,6,3,0,4,2,0,1,2,5,1,2,2,0,0,3,2,8,9,3,7,5,3,17,3,3,5,13,11,5,2,0,1,5,0,0,1,1,1,5,0,2,4,4,2,1,2,24,6,0,3,0,1,3,3,1,2,0,0,0,1,2,0,0,2,0,0,2,1,4,0,3,0,1,0,1,0,0,1,5,1,1,0,1,1,0,1,2,0,0,0,0,2,2,0,2,3,0,2,0,2,0,1,0,1,3,0,4,7,10,9,2,2,1,3,3,2,1,1,0,1,3,1,0,0,2,1,3,3,5,6,5,1,1,1,3,3,14,7,4,3,4,4,5,1,3,0,0,2,2,5,0,6,0,1,1,3,1,5,3,0,2,4,6,15,12,9,2,4,3,4,4,3,1,6,2,3,2,1,1,0,0,1,2,2,0,0,1,1,3,8,1,1,2,12,5,6,3,2,3,2,2,0,2,1,1,2,2,13,9,6,5,6,10,7,3,1,6,3,3,3,3,2,1,1,1,2,3,8,3,2,1,1,2,7,3,1,1,3,4,1,2,1,0,1,0,0,2,3,1,1,2,0,9,3,0,2,2,2,0,0,3,2,1,1,1,0,3,0,3,0,2,2,2,2,0,2,2,1,2,0,1,1,3,0,2,1,1,2,3,2,0,0,0,0,2,4,4,5,1,0,0,0,10,1,2,2,0,1,5,1,6,1,1,3,0,0,1,1,2,1,2,4,2,3,2,1,0,1,1,2,1,2,3,1,1,2,1,2,4,1,0,3,3,31,2,33,6,6,9,11,6,2,3,7,2,1,1,7,5,2,2,5,4,5
"Iowa",0,0,4,0,1,0,0,0,4,0,0,2,1,0,0,0,6,0,10,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,3,1,1,1,7,17,1,0,1,1,0,0,2,0,0,0,1,2,0,0,0,0,0,1,1,0,0,1,0,1,0,4,1,0,0,0,5,1,0,0,2,1,2,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,2,2,0,3,7,3,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,2,0,3,2,4,2,0,1,2,1,9,5,1,1,0,0,1,1,4,2,0,0,1,4,4,1,0,3,2,0,0,2,0,1,0,4,12,9,4,4,6,1,2,3,1,1,3,3,2,1,1,0,0,1,1,2,1,0,2,1,0,2,1,2,3,1,4,5,4,5,5,1,1,3,1,1,1,2,1,0,3,9,6,4,3,2,3,1,4,5,5,2,1,1,2,0,1,3,2,1,1,4,2,1,1,1,1,1,3,1,2,4,2,0,0,0,1,2,0,0,0,0,0,0,0,1,7,2,1,0,0,1,1,0,0,1,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1,2,1,0,0,1,2,1,0,0,5,2,1,1,1,1,0,0,4,3,0,0,0,1,1,0,0,1,0,0,0,0,5,0,0,2,0,0,1,1,2,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,1,1,1,0,1,0,1,0,25,3,12,3,9,8,0,7,0,0,1,2,0,0,2,2,0,3,1,0,2
"Kansas",0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,2,1,1,0,0,0,0,2,0,0,5,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,2,4,1,0,1,1,0,0,3,0,0,1,0,0,0,1,1,0,0,1,3,1,3,1,0,0,0,1,0,0,0,1,2,0,1,0,0,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,3,3,0,1,0,0,0,0,0,0,1,1,2,0,1,1,1,0,0,2,2,1,1,1,0,0,0,2,3,5,0,1,2,1,1,1,3,2,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,1,4,1,4,2,1,2,1,2,1,1,1,0,0,2,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,3,0,0,0,2,2,0,2,1,1,0,0,2,0,1,3,1,0,2,1,1,2,2,1,2,0,2,1,1,1,0,0,1,0,0,1,0,0,0,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,2,0,1,0,0,0,0,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,5,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2,9,2,11,2,0,2,0,0,0,0,1,0,2,4,4,1,0,0,1
"Kentucky",2,0,7,2,1,1,0,1,3,1,1,0,3,0,2,0,1,1,5,8,1,7,4,0,10,3,7,5,11,7,1,0,0,0,2,0,2,0,1,0,1,3,0,2,1,3,0,2,12,3,2,2,1,1,3,2,2,1,2,1,0,3,1,0,0,1,2,0,0,1,4,0,0,0,2,1,1,0,1,1,1,0,0,0,0,1,1,3,0,0,0,0,0,0,2,0,3,1,0,0,1,2,0,0,0,0,0,2,2,3,2,4,0,0,2,1,0,0,0,1,1,2,1,0,0,0,0,0,1,1,4,4,2,2,1,0,1,1,7,4,1,0,1,2,3,1,2,3,2,0,1,1,0,5,0,1,0,1,2,0,2,0,2,2,4,3,3,4,2,0,2,3,2,1,0,1,3,1,3,2,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,2,4,0,2,1,1,0,0,0,1,1,0,0,11,3,2,3,1,4,2,2,0,5,1,1,2,1,0,1,0,0,0,0,2,1,1,0,0,0,2,2,1,2,0,2,0,0,1,0,1,1,1,0,2,1,1,0,1,4,4,1,0,0,1,0,0,2,1,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,2,1,0,1,0,1,0,1,0,2,0,0,0,5,1,0,2,1,1,2,0,0,2,1,0,0,1,1,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1,0,2,1,1,0,3,0,1,2,2,1,12,6,31,4,3,4,6,8,0,0,4,1,0,3,6,5,1,4,1,5,4
"Louisiana",2,2,1,0,2,1,1,0,0,2,4,4,0,2,0,1,1,3,3,6,1,6,4,0,16,10,20,13,16,13,5,1,1,1,0,2,0,1,5,1,2,1,0,1,3,2,2,1,5,1,0,0,5,2,2,0,1,0,0,1,1,3,1,0,0,0,2,0,1,2,1,0,1,3,0,0,0,0,4,5,0,3,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,2,0,0,1,6,6,0,2,1,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,3,2,0,6,2,9,2,0,1,2,0,6,11,2,0,1,0,0,0,2,2,1,1,3,3,1,4,1,1,1,3,2,1,0,4,2,5,6,13,9,7,3,2,3,6,4,0,1,2,2,3,5,3,1,1,1,0,0,0,1,1,0,1,1,3,2,3,3,6,3,8,3,3,3,1,0,1,2,0,1,2,2,6,0,3,4,3,7,5,2,3,4,3,5,0,2,2,2,0,0,1,3,3,0,0,0,2,2,1,4,1,1,3,1,2,1,1,1,2,0,1,1,2,1,1,1,0,7,6,3,1,1,1,1,2,2,0,1,4,1,0,1,1,0,0,2,0,3,1,3,2,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,2,1,2,1,0,1,1,3,1,2,1,1,8,3,5,9,0,0,0,5,1,3,0,1,1,2,0,2,1,0,2,0,1,0,0,0,3,1,1,6,1,3,1,2,2,3,3,2,11,16,32,4,27,11,11,10,4,2,8,0,2,0,12,11,4,0,6,13,13
"Maine",1,1,1,2,0,2,0,0,0,2,0,0,1,1,0,7,2,1,2,4,2,2,0,1,14,1,0,0,2,1,1,0,0,0,2,0,0,0,0,0,1,2,0,1,2,1,2,0,8,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,4,0,0,0,1,0,3,0,1,1,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,5,1,1,1,1,0,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,1,2,1,2,0,2,0,0,1,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,3,2,0,0,4,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,2,0,2,4,1,0,2,1,0,0,1,2,0,0,1,0,12,1
"Maryland",12,2,1,5,0,7,2,1,0,6,4,5,8,2,0,1,6,3,8,55,6,5,5,7,208,42,8,5,14,54,26,2,3,8,1,1,1,0,1,3,5,11,3,6,9,4,2,3,19,4,3,5,3,4,0,5,1,4,3,2,1,2,1,0,3,3,2,1,1,1,3,2,1,0,1,1,2,0,1,6,2,3,1,0,2,1,0,2,0,2,0,1,1,2,1,0,4,3,4,0,4,2,0,0,3,0,1,1,6,6,7,4,4,3,2,3,3,3,0,3,0,2,6,5,3,1,2,1,1,5,42,5,1,6,2,0,4,0,17,8,5,1,7,6,9,2,0,3,3,0,1,3,2,10,2,1,2,4,4,1,0,1,2,2,16,24,37,11,10,4,2,2,9,5,2,4,6,5,13,7,8,6,2,3,2,2,1,0,1,0,1,9,3,0,0,29,7,6,5,2,5,1,2,0,0,2,5,1,2,23,2,3,9,10,9,16,7,3,5,3,5,10,3,6,5,2,2,2,4,3,1,3,0,0,0,3,2,0,0,9,3,3,1,2,0,4,4,2,2,3,1,1,1,2,10,7,2,0,1,6,7,5,4,4,3,2,3,1,2,1,0,1,3,3,3,2,6,4,2,2,3,2,1,2,3,2,0,1,1,4,4,3,2,1,1,1,2,6,7,13,2,1,2,3,4,1,1,0,4,2,4,5,3,5,0,1,3,0,4,0,4,2,2,5,5,8,3,0,2,1,3,1,9,5,1,3,5,6,6,1,4,7,2,5,3,29,12,19,10,10,16,22,9,4,4,3,2,5,2,9,7,2,3,10,34,9
"Massachusetts",10,10,14,30,10,16,7,4,6,26,14,9,91,47,10,11,49,17,18,98,64,16,13,18,266,57,20,16,17,53,32,12,15,19,18,6,7,10,7,9,19,41,12,15,56,12,15,8,131,23,5,4,13,9,13,12,3,2,12,9,5,13,5,0,6,7,9,12,8,9,12,5,8,8,13,13,54,5,5,13,20,11,14,4,6,2,5,53,6,7,11,7,7,14,37,8,7,13,16,10,13,9,8,3,3,1,6,12,9,18,23,53,80,58,47,16,61,10,5,2,4,5,13,5,6,11,6,6,10,23,173,18,19,45,6,5,5,11,82,29,4,7,15,11,61,19,7,9,2,2,4,13,16,47,13,5,5,53,11,9,15,9,26,44,35,52,64,33,32,19,23,17,36,20,14,9,18,29,65,19,24,9,2,8,3,5,15,8,6,9,9,34,20,4,14,99,20,59,44,43,12,8,8,7,6,16,20,39,43,74,19,29,61,61,47,45,27,14,17,39,18,29,11,35,30,24,47,26,54,11,13,5,6,11,14,33,11,8,7,9,10,11,9,10,11,7,14,13,11,7,8,7,7,14,23,29,13,8,38,13,11,14,18,7,11,7,8,5,9,30,10,8,7,4,11,8,6,11,5,23,9,10,9,8,10,9,5,9,4,29,10,14,9,9,3,3,9,9,10,8,16,16,8,27,46,18,11,18,8,18,14,5,15,14,23,6,5,11,25,15,12,11,15,14,20,10,10,4,1,2,7,11,19,17,23,12,19,12,28,15,9,21,16,18,5,47,75,39,93,24,29,99,31,21,82,13,20,11,14,16,21,12,14,10,174,22
"Michigan",56,36,8,11,3,10,7,4,8,14,25,11,37,10,6,2,12,14,23,53,13,9,21,6,105,38,24,12,15,34,20,7,7,12,10,3,7,17,11,9,59,21,14,13,23,22,17,21,149,20,2,8,5,8,15,26,5,7,6,1,17,5,5,3,6,13,13,6,8,10,3,2,2,4,14,11,5,7,17,13,35,10,2,3,0,2,6,13,7,2,3,3,4,9,12,5,6,12,3,5,3,9,5,1,2,1,3,14,5,10,155,34,11,7,5,5,4,3,2,2,3,1,3,5,6,4,3,1,6,37,64,19,11,13,3,1,9,9,187,53,4,3,10,4,14,6,4,7,7,0,9,12,9,41,7,11,4,12,12,4,3,8,9,22,53,74,51,54,15,7,10,15,29,15,11,4,15,15,13,6,15,11,0,5,17,2,7,4,10,5,8,21,8,6,4,66,13,13,12,5,5,5,7,0,2,9,5,10,15,104,30,14,25,15,51,50,20,15,9,16,9,11,6,14,11,8,14,19,8,12,10,5,5,5,12,18,7,10,8,9,9,12,9,10,8,2,10,6,9,11,4,6,5,10,98,43,6,9,8,8,7,10,16,13,4,9,12,8,12,20,6,6,3,10,1,19,18,14,7,10,7,3,8,5,7,9,3,3,2,21,13,6,5,3,6,4,10,12,16,14,6,7,2,9,14,12,11,10,7,8,14,10,11,33,14,6,7,6,22,11,16,8,5,16,37,22,16,10,3,4,12,11,7,18,12,4,12,13,4,8,8,28,8,7,11,247,101,128,33,28,38,62,51,23,20,10,13,6,11,19,25,9,4,19,48,13
"Minnesota",41,25,16,12,18,11,3,4,20,11,6,56,31,5,6,3,9,8,117,37,10,12,9,12,54,18,16,12,12,21,17,16,12,10,21,4,7,14,16,8,12,18,6,12,12,8,8,13,60,16,10,5,9,45,69,27,4,2,3,8,5,6,9,1,4,13,15,20,13,4,6,2,7,4,10,7,11,4,4,22,31,11,7,7,2,3,6,6,5,4,4,1,5,6,7,11,4,9,7,5,4,8,8,9,8,2,7,17,10,28,46,30,5,9,9,12,5,4,10,5,7,4,6,5,4,5,2,5,8,14,36,19,17,8,4,3,6,11,59,32,6,3,6,9,12,4,9,5,7,4,8,19,17,25,8,9,12,15,6,6,4,10,6,14,39,37,37,22,14,4,7,18,16,8,11,4,16,12,10,3,4,2,0,5,4,7,12,3,8,13,7,15,6,6,7,31,14,15,19,8,6,5,6,1,4,5,11,11,7,42,19,14,15,22,19,29,12,14,19,15,13,11,5,10,8,3,9,7,8,20,6,2,1,4,3,7,7,8,7,14,9,15,10,11,8,7,5,2,1,7,4,9,4,8,39,23,12,5,6,2,3,7,15,11,11,15,9,10,8,11,8,4,12,7,3,12,11,14,9,18,12,11,10,12,8,3,6,4,8,11,11,5,5,7,7,1,3,12,12,6,13,8,3,6,15,15,12,7,5,8,23,22,8,21,10,14,26,14,27,15,19,8,6,21,21,17,14,5,4,1,16,11,17,14,13,13,5,14,8,14,13,21,14,9,15,80,50,71,31,25,48,29,70,20,11,11,7,10,12,27,24,11,57,20,30,11
"Mississippi",1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,2,0,16,5,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,4,6,0,2,5,1,2,2,0,2,2,0,0,2,4,3,1,0,2,2
"Missouri",7,7,30,10,6,10,4,6,9,7,7,13,11,9,2,4,25,22,24,28,11,11,16,17,74,31,46,37,54,36,13,8,5,12,30,3,3,15,7,10,11,8,10,14,22,16,12,30,80,24,3,4,8,13,10,25,8,1,6,5,5,14,4,5,1,4,17,18,8,7,27,5,11,13,18,12,6,4,8,16,16,0,3,3,7,3,3,10,7,9,2,1,1,7,7,5,2,15,18,5,4,14,6,6,6,4,14,9,5,12,34,21,14,6,3,5,3,7,2,8,3,12,6,5,10,4,4,5,6,20,34,20,9,27,5,5,8,9,38,26,10,5,6,9,9,6,67,31,6,3,2,13,13,13,9,9,11,10,3,9,2,6,5,16,37,76,21,42,39,12,15,32,19,6,15,17,8,7,13,10,6,7,2,4,3,1,1,7,2,4,5,15,8,11,17,20,14,9,19,10,14,12,12,2,2,4,4,7,10,88,30,12,12,10,18,22,14,13,13,8,7,11,6,8,10,5,8,2,7,14,4,6,4,7,6,12,16,6,9,9,21,12,9,8,7,1,1,5,9,4,6,5,3,1,30,19,8,4,2,7,8,6,11,7,6,8,10,7,9,6,4,5,7,7,2,12,5,10,30,17,12,4,6,8,15,17,17,7,11,24,15,6,8,6,7,2,8,15,9,11,3,7,5,9,25,9,2,5,4,13,60,9,12,41,3,7,8,6,4,7,6,5,4,6,5,7,5,1,2,3,1,3,4,10,6,5,9,6,6,9,6,11,4,9,11,143,44,272,35,133,59,26,67,15,18,12,13,6,7,10,45,10,10,27,55,22
