"state","mean_airvel(Km/h)"
"Alabama",558.159784416217
"Alaska",652.082515883299
"Arizona",684.689975338345
"Arkansas",569.005382368465
"California",689.269417221113
"Colorado",727.881014906903
"Connecticut",600.576447324367
"District of Columbia",611.136384031257
"Florida",665.641307108844
"Georgia",654.65471314064
"Hawaii",704.902928162835
"Idaho",649.092742845204
"Illinois",670.951469446776
"Indiana",586.647718202081
"Iowa",568.877242022969
"Kansas",629.900434638552
"Kentucky",551.592771193525
"Louisiana",638.832808231659
"Maine",580.11187850491
"Maryland",616.295188903327
"Massachusetts",595.563440474122
"Michigan",596.447354642331
"Minnesota",674.466401029505
"Mississippi",593.256559309224
"Missouri",654.324074362155
"Montana",672.810980046465
"Nebraska",639.4834652063
"Nevada",662.502285937663
"New Hampshire",576.410553731831
"New Jersey",650.610055562652
"New Mexico",667.991731467467
"New York",603.606590772746
"North Carolina",575.282618056317
"North Dakota",578.157351042162
"Ohio",617.748148011624
"Oklahoma",607.862649934831
"Oregon",703.822171755052
"Pennsylvania",597.490266316139
"Rhode Island",574.11713392404
"South Carolina",460.194422476817
"South Dakota",596.466374874636
"Tennessee",631.772947539294
"Texas",665.725894803121
"Utah",707.909343208176
"Vermont",564.28750215979
"Virginia",538.933169629604
"Washington",715.618320018296
"West Virginia",479.089555102314
"Wisconsin",550.005120368575
"Wyoming",690.006334580979
