"state","mean/flights"
"Alabama",0.000198164959343112
"Alaska",0.000217838314983155
"Arizona",4.77307630531027e-05
"Arkansas",0.000215987268858763
"California",1.17023261813835e-05
"Colorado",7.74406968959057e-05
"Connecticut",0.000179497770306493
"District of Columbia",5.07465018235568e-05
"Florida",2.1680490195298e-05
"Georgia",3.92247618971508e-05
"Hawaii",7.07336215394839e-05
"Idaho",0.000560906663008713
"Illinois",3.02707437087818e-05
"Indiana",0.000154035291903153
"Iowa",0.000322120278390208
"Kansas",0.00054073133625066
"Kentucky",0.000199823322803331
"Louisiana",9.62027866868476e-05
"Maine",0.000835902541149495
"Maryland",9.31680464267554e-05
"Massachusetts",8.7863555553545e-05
"Michigan",4.7773131397274e-05
"Minnesota",5.14578675319118e-05
"Mississippi",0.000540475153789366
"Missouri",3.19209921798648e-05
"Montana",0.00017971702363297
"Nebraska",0.000345146506508078
"Nevada",6.09796635122505e-05
"New Hampshire",0.000417228151588265
"New Jersey",7.18610974762091e-05
"New Mexico",0.000201526367196544
"New York",3.69957988176902e-05
"North Carolina",3.5386190537289e-05
"North Dakota",0.000233664469049293
"Ohio",3.48927993251522e-05
"Oklahoma",0.000135352468713253
"Oregon",0.00013050454673131
"Pennsylvania",3.38814325621055e-05
"Rhode Island",0.000228490325253024
"South Carolina",0.000184965869781098
"South Dakota",0.000413125497998634
"Tennessee",5.26873518776393e-05
"Texas",1.15326273136826e-05
"Utah",0.000103272341947257
"Vermont",0.00195917688955938
"Virginia",0.000161903459813196
"Washington",8.73653046020889e-05
"West Virginia",0.00338262662843921
"Wisconsin",0.000142577019662381
"Wyoming",0.0174026598301554
