"state","flights"
"Alabama",26939
"Alaska",42864
"Arizona",198076
"Arkansas",25250
"California",708441
"Colorado",140353
"Connecticut",34319
"District of Columbia",127192
"Florida",368402
"Georgia",245346
"Hawaii",66878
"Idaho",11849
"Illinois",375355
"Indiana",42036
"Iowa",16637
"Kansas",7595
"Kentucky",23584
"Louisiana",64299
"Maine",12542
"Maryland",97031
"Massachusetts",121491
"Michigan",165055
"Minnesota",141050
"Mississippi",9771
"Missouri",222232
"Montana",8859
"Nebraska",19679
"Nevada",158798
"New Hampshire",15573
"New Jersey",111127
"New Mexico",35553
"New York",242643
"North Carolina",178804
"North Dakota",4685
"Ohio",166538
"Oklahoma",45451
"Oregon",56814
"Pennsylvania",227860
"Rhode Island",28702
"South Carolina",18793
"South Dakota",4233
"Tennessee",116236
"Texas",681657
"Utah",73978
"Vermont",4161
"Virginia",36805
"Washington",112920
"West Virginia",846
"Wisconsin",28701
"Wyoming",788
