"state","Dist_from","Dist_to"
"Alabama",625.683184523809,621.30613608523
"Alaska",1231.08682851602,1233.07519130272
"Arizona",1331.16358290412,1331.60908944042
"Arkansas",558.912267451105,559.416792079208
"California",1423.75729729119,1420.7750144331
"Colorado",1421.73979828219,1418.99285373309
"Connecticut",1215.49704988901,1217.19208018882
"District of Columbia",1206.69712612378,1215.16132303918
"Florida",1299.88431796252,1297.85751163132
"Georgia",1065.98234625533,1083.45957138083
"Hawaii",1349.51757274578,1351.37094410718
"Idaho",843.503592864993,844.209215967592
"Illinois",1152.69728954463,1153.59190632868
"Indiana",753.107113908358,754.844323912837
"Iowa",540.379752937632,529.473282442748
"Kansas",704.06039381525,704.120210664911
"Kentucky",647.104833219877,641.333361601085
"Louisiana",902.992269567657,907.88012255245
"Maine",652.877652334054,656.08324031255
"Maryland",1091.95022577785,1105.18403396853
"Massachusetts",1293.93342062355,1297.3867529282
"Michigan",918.450604057718,915.252958104874
"Minnesota",1286.54525703448,1284.83680964197
"Mississippi",643.278712059065,644.62767372838
"Missouri",1071.18580305282,1068.9807318478
"Montana",898.656462965032,902.883734055762
"Nebraska",861.324149521287,860.648965902739
"Nevada",1243.58825422061,1226.65813801181
"New Hampshire",911.140513414399,898.426635844089
"New Jersey",1729.16138434826,1735.58051598621
"New Mexico",1009.46691807615,1012.28357663207
"New York",1176.2404922346,1175.36913902317
"North Carolina",819.88897210051,818.877558667591
"North Dakota",529.473403118992,529.57310565635
"Ohio",1043.33156256385,1042.13423362836
"Oklahoma",640.972756551663,641.249851488416
"Oregon",1506.7535103328,1488.24648854156
"Pennsylvania",1078.86871762027,1075.74597998771
"Rhode Island",956.953996509599,957.270538638422
"South Carolina",456.431550317316,456.545043367211
"South Dakota",564.395134624469,563.941176470588
"Tennessee",976.590703201695,975.402534498778
"Texas",1067.39256432771,1068.21974248046
"Utah",1336.1765902066,1347.40171402309
"Vermont",598.736157920077,600.350636866138
"Virginia",744.57319099104,742.182502377394
"Washington",1733.48616776024,1733.74574034715
"West Virginia",266.014184397163,266.014184397163
"Wisconsin",573.438726604863,572.729974565346
"Wyoming",1158.52278481013,1156.95431472081
