"state","flights"
"Alabama",26880
"Alaska",42797
"Arizona",198621
"Arkansas",25156
"California",708208
"Colorado",140295
"Connecticut",34236
"District of Columbia",126693
"Florida",367905
"Georgia",246350
"Hawaii",66808
"Idaho",11829
"Illinois",376505
"Indiana",41946
"Iowa",16595
"Kansas",7567
"Kentucky",23504
"Louisiana",64162
"Maine",12489
"Maryland",96998
"Massachusetts",121434
"Michigan",165216
"Minnesota",141304
"Mississippi",9752
"Missouri",222090
"Montana",8951
"Nebraska",19636
"Nevada",158508
"New Hampshire",15543
"New Jersey",111157
"New Mexico",35533
"New York",242486
"North Carolina",178928
"North Dakota",4681
"Ohio",166406
"Oklahoma",45332
"Oregon",56761
"Pennsylvania",227959
"Rhode Island",28650
"South Carolina",18751
"South Dakota",4234
"Tennessee",116126
"Texas",682171
"Utah",73764
"Vermont",4154
"Virginia",36719
"Washington",112780
"West Virginia",846
"Wisconsin",28585
"Wyoming",790
