"Hour","flights"
"1",51817
"2",12834
"3",3413
"4",1379
"5",19855
"6",38267
"7",132227
"8",245314
"9",282190
"10",339664
"11",349706
"12",348844
"13",338163
"14",327598
"15",332170
"16",370134
"17",347994
"18",376330
"19",337607
"20",360018
"21",345127
"22",318539
"23",243762
"24",139088
