"city","min","mean","max"
"Abilene",-19,2.7039770397704,285
"Albany",-25,5.86535773287584,1037
"Albuquerque",-30,7.1608364055948,576
"Allentown",-30,4.09392486011191,666
"Amarillo",-16,6.20632783574554,635
"Anchorage",-61,8.42577304479508,1287
"Asheville",-14,-1.34414295168762,185
"Atlanta",-30,9.79388250202166,1248
"Austin",-28,5.2862581711084,460
"Avoca",-14,1.93395549174444,282
"Bakersfield",-19,7.00838168923275,600
"Bangor",-21,15.9109650433224,603
"Barrow",-26,6.84463625154131,193
"Baton Rouge",-22,6.07109004739336,382
"Beaumont / Port Arthur",-21,2.78472639807577,510
"Bethel",-14,8.83348334833483,188
"Billings",-40,1.14993169398907,446
"Binghamton",-10,1.19346049046322,150
"Birmingham",-27,5.87970415488362,589
"Bismarck",-13,-0.363970588235294,411
"Bloomington",-21,7.10662604722011,574
"Blountville",-10,-1.66856060606061,102
"Boise",-24,6.63496491673007,503
"Boston",-44,10.6845531286797,1032
"Bozeman",-14,2.79523227383863,1026
"Brownsville",-9,1.30645161290323,158
"Buffalo",-27,6.27588335133467,970
"Burbank",-15,8.101418549071,495
"BWI Airport",-31,9.03711416730242,1345
"Cedar Rapids",-28,4.32658227848101,586
"Champaign",-25,8.1592394533571,293
"Charleston",-41,2.71865073362578,474
"Charlotte",-34,6.57136232732953,656
"Chattanooga",-18,2.76892430278884,208
"Chicago",-43,11.4889807460435,1477
"Cincinnati",-75,6.33299344272582,1064
"Cleveland",-32,4.99895088591856,1099
"College Station",-27,1.36962750716332,466
"Colorado Springs",-20,4.50552537928451,952
"Columbia",-27,4.31769722814499,420
"Columbus",-46,6.47899941517359,780
"Cordova",-34,9.88826025459689,368
"Corpus Christi",-13,8.10394889663182,400
"Dallas",-28,9.29868638017327,862
"Dayton",-20,4.39928295122181,619
"Daytona Beach",-32,7.09785067873303,345
"Deadhorse",-35,10.0671140939597,483
"Denver",-24,11.4174893774102,1377
"Des Moines",-30,6.30981230696127,717
"Detroit",-28,8.41511434830536,814
"Dillingham",-19,12.0979591836735,274
"Dubuque",-23,5.54962468723937,195
"Duluth",-22,6.26736493936053,685
"Durango",-9,13.9323308270677,455
"Eagle",-16,9.72420091324201,1072
"Egg Harbor Township",106,106,106
"El Paso",-15,6.79996217672923,911
"Elmira / Corning",-15,-0.0468085106382979,225
"Erie",-15,-0.562225475841874,308
"Eugene",-11,9.87371829465731,407
"Evansville",-16,10.6808118081181,385
"Fairbanks",-18,7.1266692102251,413
"Fargo",-18,0.766686355581807,946
"Fayetteville",-11,-1.54938271604938,261
"Fayetteville / Springdale",-20,9.55361050328228,813
"Flint",-18,-0.610909090909091,299
"Fort Lauderdale",-19,9.10164835164835,1367
"Fort Myers",-24,6.03735896845498,1178
"Fort Smith",-19,0.0537280701754386,233
"Fort Wayne",-22,7.76434676434676,494
"Fresno",-17,7.25035043453883,530
"Grand Forks",-12,5.23159784560144,1414
"Grand Rapids",-24,6.24412967012073,535
"Great Falls",-20,-0.638132295719844,443
"Green Bay",-17,4.42190831556503,461
"Greensboro",-46,5.70557271195957,459
"Greenville",-31,4.99985352277721,1366
"Gulfport",-9,0.483909415971395,204
"Gunnison",-18,7.45982142857143,1015
"Gustavus",-15,5.03333333333333,147
"Harlingen",-14,9.03735632183908,319
"Harrisburg",-45,4.45360665844636,593
"Hayden",-17,14.9430051813472,1374
"Helena",-18,0.466854724964739,595
"Hilo",-29,2.00622665006227,204
"Honolulu",-63,5.18834227787716,1692
"Houston",-43,7.21792507710714,1279
"Huntsville",-19,2.7000935453695,399
"Indianapolis",-34,6.36813922356091,1373
"Islip",-20,7.4462737542692,491
"Ithaca",-16,-1.51336898395722,272
"Jackson",-45,6.37483252602288,1022
"Jacksonville",-28,6.28049112173136,557
"Juneau",-30,12.8625730994152,550
"Kahului",-60,5.43481616615212,1150
"Kalamazoo",-26,4.72330097087379,433
"Kansas City",-22,6.25111431348236,899
"Keahole",-40,5.27493884207665,955
"Ketchikan",-31,8.43026101141925,576
"Key West",-32,5.58480429777437,386
"Killeen",-24,3.33164471462344,393
"King Salmon",-23,10.9776951672862,322
"Knoxville",-15,3.45280564845782,757
"Kodiak",-17,8.36363636363636,348
"Kotzebue",-17,12.7948442534909,455
"La Crosse",-19,6.2967032967033,275
"Lafayette",-28,4.29148418491484,354
"Lansing",-25,0.397134898527656,487
"Laredo",-14,7.2381280110117,562
"Las Vegas",-204,9.91082108616596,1137
"Lawton",-18,2.36710586097229,451
"Lewisburg",-10,1.49333333333333,102
"Lexington",-20,1.198738170347,361
"Lihue",-62,2.27188276854638,1289
"Lincoln",-22,7.4195652173913,344
"Little Rock",-30,5.54082299150882,575
"Long Beach",-15,3.56199559794571,372
"Longview",-20,-0.0822249093107618,183
"Los Angeles",-67,8.46764214046823,1202
"Louisville",-31,5.17989443610479,661
"Lubbock",-19,6.30805805805806,529
"Madison",-41,4.00627787873782,388
"Manchester",-51,6.4849771601364,550
"Mcallen",-16,3.34589665653495,586
"Medford",-11,9.86903860711582,335
"Melbourne",-13,6.79386503067485,499
"Memphis",-31,6.66519939311068,1103
"Miami",-20,10.6068069144992,1197
"Midland",-27,6.49266334440753,523
"Milwaukee",-26,3.81198226577996,958
"Minneapolis",-34,7.3566157742297,1183
"Minot",-20,1.30999066293184,838
"Missoula",-30,3.87227248536456,1270
"Mobile",-30,6.55640292341913,395
"Moline",-14,3.2766279656739,551
"Monroe",-26,2.83810143042913,280
"Monterey",-20,7.38638412984671,302
"Montrose",-13,-1.52851711026616,168
"Myrtle Beach",-13,0.378793288111389,259
"Naples",-13,4.10526315789474,111
"Nashville",-60,6.03028762347472,979
"New Orleans",-23,6.51024491756043,1057
"New York",-44,10.3494079936389,1373
"Newark",-36,7.9869822591673,842
"Newburgh",-23,5.83259127337489,765
"Nome",-19,12.239378238342,449
"Norfolk",-23,5.93143145953838,1095
"North Canton",-13,1.50113895216401,281
"Oakland",-21,9.47034534534535,880
"Oklahoma City",-39,6.55228758169935,819
"Omaha",-18,6.72874671340929,1148
"Ontario",-17,7.11285689665077,643
"Orange County",-46,6.60534224508932,1592
"Orlando",-22,7.46090365826667,1561
"Palm Springs",-19,8.45389880552946,1044
"Pasco",-30,1.0957345971564,274
"Pensacola",-46,1.98346613545817,350
"Peoria",-17,7.21165644171779,398
"Petersburg",-44,17.1852941176471,486
"Philadelphia",-37,9.47981331685075,929
"Phoenix",-38,9.8590666072622,1435
"Pittsburgh",-20,6.37856478079843,660
"Portland",-20,7.43283011047522,1302
"Providence",-19,6.54624781849913,809
"Rapid City",-14,2.13667953667954,909
"Rdu Airport",-54,6.59546985651009,1110
"Reno",-24,8.38251495121184,1185
"Richmond",-29,6.21207065186123,665
"Roanoke",-12,3.06923579359895,346
"Rochester",-30,6.60797950219619,737
"Sacramento",-15,8.00880263825469,473
"Saginaw",-39,1.71076706544687,480
"Saint Louis",-26,7.50225268100768,1086
"Salt Lake City",-46,7.61778103139743,1247
"San Angelo",-25,-0.515463917525773,320
"San Antonio",-27,5.70269375138,988
"San Diego",-28,7.89044121358978,1300
"San Francisco",-20,9.05686177721199,558
"San Jose",-22,7.96754296835869,655
"San Luis Obispo",-17,9.63593882752761,308
"Santa Barbara",-23,7.67537725432462,483
"Sarasota",-15,4.19507233273056,578
"Savannah",-18,4.79419975186104,394
"Seattle",-25,10.2519136112506,1321
"Shreveport",-20,4.88519163763066,509
"Sioux City",-13,-0.429657794676806,394
"Sioux Falls",-15,1.57842803674719,461
"Sitka",-14,7.75570272259014,407
"South Bend",-18,1.17698412698413,963
"South Burlington",-69,8.13842079922966,419
"Spokane",-33,7.35063655030801,490
"Springfield",-19,3.96847781003733,281
"Syracuse",-32,4.21241184767278,595
