"state","mean_dist"
"Alabama",625.683184523809
"Alaska",1231.08682851602
"Arizona",1331.16358290412
"Arkansas",558.912267451105
"California",1423.75729729119
"Colorado",1421.73979828219
"Connecticut",1215.49704988901
"District of Columbia",1206.69712612378
"Florida",1299.88431796252
"Georgia",1065.98234625533
"Hawaii",1349.51757274578
"Idaho",843.503592864993
"Illinois",1152.69728954463
"Indiana",753.107113908358
"Iowa",540.379752937632
"Kansas",704.06039381525
"Kentucky",647.104833219877
"Louisiana",902.992269567657
"Maine",652.877652334054
"Maryland",1091.95022577785
"Massachusetts",1293.93342062355
"Michigan",918.450604057718
"Minnesota",1286.54525703448
"Mississippi",643.278712059065
"Missouri",1071.18580305282
"Montana",898.656462965032
"Nebraska",861.324149521287
"Nevada",1243.58825422061
"New Hampshire",911.140513414399
"New Jersey",1729.16138434826
"New Mexico",1009.46691807615
"New York",1176.2404922346
"North Carolina",819.88897210051
"North Dakota",529.473403118992
"Ohio",1043.33156256385
"Oklahoma",640.972756551663
"Oregon",1506.7535103328
"Pennsylvania",1078.86871762027
"Rhode Island",956.953996509599
"South Carolina",456.431550317316
"South Dakota",564.395134624469
"Tennessee",976.590703201695
"Texas",1067.39256432771
"Utah",1336.1765902066
"Vermont",598.736157920077
"Virginia",744.57319099104
"Washington",1733.48616776024
"West Virginia",266.014184397163
"Wisconsin",573.438726604863
"Wyoming",1158.52278481013
