"state","mean/flights"
"Alabama",0.000196924269988219
"Alaska",0.000233353495013981
"Arizona",2.779206131436e-05
"Arkansas",0.000242889628113942
"California",9.10753564362e-06
"Colorado",4.50267415827726e-05
"Connecticut",0.000164961806139691
"District of Columbia",2.74598873960553e-05
"Florida",1.65178081213174e-05
"Georgia",2.07004101048402e-05
"Hawaii",7.13264087492559e-05
"Idaho",0.000573701322917654
"Illinois",1.94648616236232e-05
"Indiana",0.00015230191491702
"Iowa",0.000441487962139176
"Kansas",0.00082740629939195
"Kentucky",0.000206275419384761
"Louisiana",9.02723481807738e-05
"Maine",0.00070326019706889
"Maryland",5.97600515615661e-05
"Massachusetts",4.70010648602761e-05
"Michigan",1.65599404315404e-05
"Minnesota",1.53210257880847e-05
"Mississippi",0.000661004517813969
"Missouri",1.91806333412592e-05
"Montana",0.000461245479880577
"Nebraska",0.00035757413744351
"Nevada",3.8587930991638e-05
"New Hampshire",0.000346199206758498
"New Jersey",5.77954251512148e-05
"New Mexico",0.000150068337130418
"New York",2.8117085771821e-05
"North Carolina",1.84432594232311e-05
"North Dakota",0.00115435808512741
"Ohio",2.23669751602663e-05
"Oklahoma",0.000153323050231215
"Oregon",0.000119195254542623
"Pennsylvania",2.45321711522237e-05
"Rhode Island",0.00019522015640702
"South Carolina",0.000269515542497809
"South Dakota",0.000703464981300906
"Tennessee",2.55540321453552e-05
"Texas",6.69349304995452e-06
"Utah",6.70296273425272e-05
"Vermont",0.00269974858114728
"Virginia",0.000154106804480458
"Washington",8.97898977804285e-05
"West Virginia",0.00254151087861666
"Wisconsin",0.00024045556255835
"Wyoming",0.0181452657205014
